,word,relevance_score
0,"('abortion', 'clinics')",3.025435186143132
1,"('alabama', 'women')",2.436464141156362
2,"('women', 'center')",2.2911070159706424
3,"('life', 'protection')",2.1192934063634326
4,"('abortion', 'clinic')",2.1192934063634326
5,"('yellowhammer', 'fund')",2.1192934063634326
6,"('three', 'abortion')",1.6286249323335964
7,"('human', 'life')",1.3791703217610287
8,"('center', 'reproductive')",1.1715038861422495
9,"('rape', 'incest')",1.1715038861422495
10,"('clinics', 'alabama')",1.1715038861422495
11,"('west', 'alabama')",1.1715038861422495
12,"('abortion', 'alabama')",1.1715038861422495
13,"('abortion', 'services')",1.130674751324179
14,"('having', 'abortions')",1.673676449910835e-05
15,"('alabama', 'georgia')",1.673676449910835e-05
16,"('pregnant', 'women')",1.673676449910835e-05
17,"('reproductive', 'health')",1.3472165572171575e-05
18,"('remaining', 'abortion')",1.3368710698661786e-05
19,"('``', 'prochoice')",1.3368710698661786e-05
20,"('prochoice', ""''"")",1.3368710698661786e-05
21,"('three', 'remaining')",1.3368710698661786e-05
22,"('target', 'specific')",1.3368710698661786e-05
23,"('``', 'unborn')",1.3368710698661786e-05
24,"('heartbeat', 'bill')",1.3368710698661786e-05
25,"('alabama', 'passed')",1.3368710698661786e-05
26,"('wade', 'june')",1.3368710698661786e-05
27,"('fetal', 'heartbeat')",1.3368710698661786e-05
28,"('clinics', 'were')",1.3368710698661786e-05
29,"('alternative', 'viewpoint')",1.3368710698661786e-05
30,"('child', ""''"")",1.3368710698661786e-05
31,"('center', 'huntsville')",1.3368710698661786e-05
32,"('rights', 'ibis')",1.3368710698661786e-05
33,"('other', 'menstrual')",1.3368710698661786e-05
34,"('parental', 'rights')",1.3368710698661786e-05
35,"('case', 'rape')",1.3368710698661786e-05
36,"('life', 'mother')",1.3368710698661786e-05
37,"('company', 'that')",1.3368710698661786e-05
38,"('clinics', 'state')",1.3368710698661786e-05
39,"('five', 'abortion')",1.3368710698661786e-05
40,"('birmingham', 'huntsville')",1.3368710698661786e-05
41,"('legal', 'abortions')",1.3368710698661786e-05
42,"('that', 'tried')",1.3368710698661786e-05
43,"('most', 'restrictive')",1.3368710698661786e-05
44,"('rates', 'infant')",1.3368710698661786e-05
45,"('alabama', 'abortion')",1.3368710698661786e-05
46,"('passed', 'lower')",1.3368710698661786e-05
47,"('ibis', 'reproductive')",1.3368710698661786e-05
48,"('viewpoint', '``')",1.3368710698661786e-05
49,"('this', 'alabama')",1.3368710698661786e-05
