,word,relevance_score
0,"('david', 'eastman')",1.6283388754605477
1,"('eastman', 'rwasilla')",1.1709752687191246
2,"('abortion', 'clinics')",1.1709752687191246
3,"('clinics', 'state')",1.1709752687191246
4,"('child', ""''"")",1.1709752687191246
5,"('women', 'aged')",0.026029362378153675
6,"('center', 'reproductive')",1.335859592631794e-05
7,"('prochoice', ""''"")",1.335859592631794e-05
8,"('``', 'prochoice')",1.335859592631794e-05
9,"('unborn', 'child')",1.335859592631794e-05
10,"('``', 'unborn')",1.335859592631794e-05
11,"('also', 'term')",1.335859592631794e-05
12,"('alaska', 'capitol')",1.335859592631794e-05
13,"('possible', 'light')",1.335859592631794e-05
14,"('made', 'committee')",1.335859592631794e-05
15,"('abortion', 'breast')",1.335859592631794e-05
16,"('between', 'abortion')",1.335859592631794e-05
17,"('patients', 'link')",1.335859592631794e-05
18,"('antiabortion', 'rights')",1.335859592631794e-05
19,"('alternative', 'viewpoint')",1.335859592631794e-05
20,"('ibis', 'reproductive')",1.335859592631794e-05
21,"('rights', 'ibis')",1.335859592631794e-05
22,"('warn', 'patients')",1.335859592631794e-05
23,"('rates', 'infant')",1.335859592631794e-05
24,"('women', 'ability')",1.335859592631794e-05
25,"('access', 'legal')",1.335859592631794e-05
26,"('legal', 'abortions')",1.335859592631794e-05
27,"('other', 'menstrual')",1.335859592631794e-05
28,"('abortion', 'state')",1.335859592631794e-05
29,"('alaska', 'legislature')",1.335859592631794e-05
30,"('abortion', 'clinic')",1.335859592631794e-05
31,"('parenthood', 'clinics')",1.335859592631794e-05
32,"('aged', 'abortions')",1.335859592631794e-05
33,"('viewpoint', '``')",1.335859592631794e-05
34,"('providers', 'warn')",1.335859592631794e-05
35,"('number', 'abortion')",1.335859592631794e-05
36,"('capitol', 'juneau')",1.335859592631794e-05
37,"('abortion', 'alaska')",1.335859592631794e-05
38,"('adults', 'said')",1.335859592631794e-05
39,"('said', 'poll')",1.335859592631794e-05
40,"('poll', 'research')",1.335859592631794e-05
41,"('legal', 'between')",1.335859592631794e-05
42,"('alaska', 'house')",6.716846210290363e-06
43,"('abortion', 'services')",6.716846210290363e-06
44,"('ability', 'access')",6.716846210290363e-06
45,"('abortion', 'providers')",6.716846210290363e-06
46,"(""''"", 'implies')",6.716846210290363e-06
47,"('elective', 'abortion')",6.716846210290363e-06
48,"('abortion', 'legal')",6.716846210290363e-06
49,"('abortion', ""''"")",6.716846210290363e-06
