,word,relevance_score
0,"('zika', 'virus')",1.4730256572023905
1,"('prenatal', 'care')",0.8651692512778069
2,"('pregnant', 'women')",1.4728554698444141e-05
3,"('seeking', 'prenatal')",1.2443349114767952e-05
4,"('possible', 'light')",1.2443349114767952e-05
5,"('prochoice', ""''"")",1.2443349114767952e-05
6,"('``', 'prochoice')",1.2443349114767952e-05
7,"('child', ""''"")",1.2443349114767952e-05
8,"('``', 'unborn')",1.2443349114767952e-05
9,"('alternative', 'viewpoint')",1.2443349114767952e-05
10,"('also', 'term')",1.2443349114767952e-05
11,"('induced', 'abortion')",1.2443349114767952e-05
12,"('after', 'pill')",1.2443349114767952e-05
13,"('morning', 'after')",1.2443349114767952e-05
14,"('viewpoint', '``')",1.2443349114767952e-05
15,"('abortion', ""''"")",4.728633737453783e-06
16,"('elective', 'abortion')",4.728633737453783e-06
17,"(""''"", 'implies')",4.728633737453783e-06
18,"('thirdtrimester', 'seek')",2.4434537197474176e-06
19,"('care', 'pregnant')",2.4434537197474176e-06
20,"('until', 'thirdtrimester')",2.4434537197474176e-06
21,"('waited', 'until')",2.4434537197474176e-06
22,"('women', 'confirmed')",2.4434537197474176e-06
23,"('seek', 'care')",2.4434537197474176e-06
24,"('beginning', 'summer')",2.4434537197474176e-06
25,"('increased', 'women')",2.4434537197474176e-06
26,"('confirmed', 'having')",2.4434537197474176e-06
27,"('government', 'beginning')",2.4434537197474176e-06
28,"('subsidized', 'government')",2.4434537197474176e-06
29,"('being', 'subsidized')",2.4434537197474176e-06
30,"('previously', 'waited')",2.4434537197474176e-06
31,"('having', 'zika')",2.4434537197474176e-06
32,"('abortive', 'agent')",2.4434537197474176e-06
33,"('options', 'only')",2.4434537197474176e-06
34,"('only', 'abortion')",2.4434537197474176e-06
35,"('abortion', 'life')",2.4434537197474176e-06
36,"('life', 'mother')",2.4434537197474176e-06
37,"('mother', 'risk')",2.4434537197474176e-06
38,"('risk', 'zika')",2.4434537197474176e-06
39,"('virus', 'qualify')",2.4434537197474176e-06
40,"('samoa', 'being')",2.4434537197474176e-06
41,"('qualify', 'such')",2.4434537197474176e-06
42,"('such', 'exception')",2.4434537197474176e-06
43,"('exception', 'women')",2.4434537197474176e-06
44,"('women', 'wanted')",2.4434537197474176e-06
45,"('wanted', 'abortion')",2.4434537197474176e-06
46,"('only', 'real')",2.4434537197474176e-06
47,"('virus', 'options')",2.4434537197474176e-06
48,"('care', 'american')",2.4434537197474176e-06
49,"('condoms', 'when')",2.4434537197474176e-06
