,word,relevance_score
0,"('save', 'life')",1.584516627864949
1,"('abortions', 'state')",1.584516627864949
2,"('clinic', 'that')",1.1048216743473371
3,"('abortion', 'clinic')",1.1048216743473371
4,"('sherri', 'finkbine')",1.1048216743473371
5,"('abortion', 'clinics')",1.1048216743473371
6,"('april', 'abortion')",1.1048216743473371
7,"('perform', 'abortions')",1.1048216743473371
8,"('have', 'abortion')",1.0816570405514274
9,"('abortion', 'services')",2.6163071575266662e-05
10,"('abortion', 'providers')",2.6163071575266662e-05
11,"('abortion', 'restrictions')",1.6177967636343957e-05
12,"('abortion', ""''"")",1.6177967636343957e-05
13,"('women', 'arizona')",1.3087622977735256e-05
14,"('clinics', 'state')",1.3087622977735256e-05
15,"('were', 'abortions')",1.3087622977735256e-05
16,"('providers', 'trap')",1.3087622977735256e-05
17,"('regulation', 'abortion')",1.3087622977735256e-05
18,"('fourteen', 'publicly')",1.3087622977735256e-05
19,"('targeted', 'regulation')",1.3087622977735256e-05
20,"('after', 'weeks')",1.3087622977735256e-05
21,"('alternative', 'viewpoint')",1.3087622977735256e-05
22,"('possible', 'light')",1.3087622977735256e-05
23,"('number', 'abortion')",1.3087622977735256e-05
24,"('arizona', 'florida')",1.3087622977735256e-05
25,"('fifth', 'child')",1.3087622977735256e-05
26,"('funded', 'abortions')",1.3087622977735256e-05
27,"('state', 'abortion')",1.3087622977735256e-05
28,"('margaret', 'mary')",1.3087622977735256e-05
29,"('mary', 'mcbride')",1.3087622977735256e-05
30,"('mcbride', 'sister')",1.3087622977735256e-05
31,"('sister', 'mercy')",1.3087622977735256e-05
32,"('stopthebans', 'movement')",1.3087622977735256e-05
33,"('induced', 'abortion')",1.3087622977735256e-05
34,"('``', 'prochoice')",1.3087622977735256e-05
35,"('also', 'term')",1.3087622977735256e-05
36,"('prochoice', ""''"")",1.3087622977735256e-05
37,"('catholic', 'diocese')",1.3087622977735256e-05
38,"('ibis', 'reproductive')",1.3087622977735256e-05
39,"('center', 'reproductive')",1.3087622977735256e-05
40,"('arizona', 'abortion')",1.3087622977735256e-05
41,"('such', 'woman')",1.3087622977735256e-05
42,"('induced', 'abortions')",1.3087622977735256e-05
43,"('punished', 'imprisonment')",1.3087622977735256e-05
44,"('shall', 'punished')",1.3087622977735256e-05
45,"('miscarriage', 'woman')",1.3087622977735256e-05
46,"('procure', 'miscarriage')",1.3087622977735256e-05
47,"('whatever', 'with')",1.3087622977735256e-05
48,"('other', 'menstrual')",1.3087622977735256e-05
49,"('menstrual', 'pads')",1.3087622977735256e-05
