,word,relevance_score
0,"('unborn', 'child')",1.2650521862758717
1,"('abortion', 'clinic')",1.2650521862758717
2,"('women', 'aged')",1.7546132351706252e-05
3,"('that', 'pain')",1.3773154047313856e-05
4,"('rights', 'ibis')",1.3773154047313856e-05
5,"('ibis', 'reproductive')",1.3773154047313856e-05
6,"('between', 'weeks')",1.3773154047313856e-05
7,"('rates', 'infant')",1.3773154047313856e-05
8,"('most', 'restrictive')",1.3773154047313856e-05
9,"('fetus', 'until')",1.3773154047313856e-05
10,"('sensors', 'develop')",1.3773154047313856e-05
11,"('center', 'reproductive')",1.3773154047313856e-05
12,"('pain', 'sensors')",1.3773154047313856e-05
13,"('menstrual', 'pads')",1.3773154047313856e-05
14,"('other', 'menstrual')",1.3773154047313856e-05
15,"('american', 'medical')",1.3773154047313856e-05
16,"('develop', 'fetus')",1.3773154047313856e-05
17,"('alternative', 'viewpoint')",1.3773154047313856e-05
18,"('viewpoint', '``')",1.3773154047313856e-05
19,"('informed', 'consent')",1.3773154047313856e-05
20,"('abortion', 'clinics')",1.3773154047313856e-05
21,"('clinics', 'state')",1.3773154047313856e-05
22,"('aged', 'abortions')",1.3773154047313856e-05
23,"('prochoice', ""''"")",1.3773154047313856e-05
24,"('``', 'prochoice')",1.3773154047313856e-05
25,"('also', 'term')",1.3773154047313856e-05
26,"('child', ""''"")",1.3773154047313856e-05
27,"('``', 'unborn')",1.3773154047313856e-05
28,"('possible', 'light')",1.3773154047313856e-05
29,"('medical', 'association')",7.546256890231435e-06
30,"('abortion', 'services')",7.546256890231435e-06
31,"('abortion', ""''"")",7.546256890231435e-06
32,"(""''"", 'implies')",7.546256890231435e-06
33,"('abortion', 'restrictions')",7.546256890231435e-06
34,"('eighth', 'circuit')",7.546256890231435e-06
35,"('elective', 'abortion')",7.546256890231435e-06
36,"('until', 'between')",7.546256890231435e-06
37,"('state', 'aged')",3.7732163159337693e-06
38,"('indicated', 'they')",3.7732163159337693e-06
39,"('women', 'indicated')",3.7732163159337693e-06
40,"('supported', 'trump')",3.7732163159337693e-06
41,"('only', 'said')",3.7732163159337693e-06
42,"('christian', 'women')",3.7732163159337693e-06
43,"('clinic', 'that')",3.7732163159337693e-06
44,"('lived', 'county')",3.7732163159337693e-06
45,"('house', 'exit')",3.7732163159337693e-06
46,"('that', 'taxed')",3.7732163159337693e-06
47,"('taxed', 'essential')",3.7732163159337693e-06
48,"('essential', 'hygiene')",3.7732163159337693e-06
49,"('hygiene', 'products')",3.7732163159337693e-06
