,word,relevance_score
0,"('abortion', 'california')",1.913015790710618
1,"('abortion', 'clinic')",1.913015790710618
2,"('reproductive', 'fact')",1.633227505165413
3,"('illegal', 'abortion')",1.633227505165413
4,"('abortion', 'clinics')",1.633227505165413
5,"('disposal', 'scandal')",1.633227505165413
6,"('fetus', 'disposal')",1.633227505165413
7,"('angeles', 'fetus')",1.633227505165413
8,"('california', 'abortion')",1.633227505165413
9,"('clinics', 'state')",1.1755461859871805
10,"('reproductive', 'freedom')",1.1755461859871805
11,"('preliminary', 'injunction')",1.1755461859871805
12,"('have', 'abortion')",1.135673140755609
13,"('period', 'between')",2.6768118636892304e-05
14,"('woman', 'right')",1.676856446803914e-05
15,"('abortion', ""''"")",1.676856446803914e-05
16,"('overturn', 'wade')",1.676856446803914e-05
17,"('abortion', 'services')",1.676856446803914e-05
18,"('women', 'health')",1.353601958084206e-05
19,"('prochoice', ""''"")",1.3384667393497008e-05
20,"('``', 'prochoice')",1.3384667393497008e-05
21,"('sixteen', 'thousand')",1.3384667393497008e-05
22,"('faces', ""''"")",1.3384667393497008e-05
23,"('child', ""''"")",1.3384667393497008e-05
24,"('about', 'angeles')",1.3384667393497008e-05
25,"('scandal', 'first')",1.3384667393497008e-05
26,"('``', 'unborn')",1.3384667393497008e-05
27,"('first', 'walk')",1.3384667393497008e-05
28,"('walk', 'life')",1.3384667393497008e-05
29,"('also', 'term')",1.3384667393497008e-05
30,"('life', 'held')",1.3384667393497008e-05
31,"('held', 'january')",1.3384667393497008e-05
32,"('place', 'state')",1.3384667393497008e-05
33,"('february', 'another')",1.3384667393497008e-05
34,"('francisco', 'february')",1.3384667393497008e-05
35,"('``', 'sixteen')",1.3384667393497008e-05
36,"('their', 'reproductive')",1.3384667393497008e-05
37,"('recorded', 'song')",1.3384667393497008e-05
38,"('medically', 'necessary')",1.3384667393497008e-05
39,"(""''"", 'abortions')",1.3384667393497008e-05
40,"('abortions', 'sought')",1.3384667393497008e-05
41,"('sought', 'lowincome')",1.3384667393497008e-05
42,"('lowincome', 'women')",1.3384667393497008e-05
43,"('women', 'under')",1.3384667393497008e-05
44,"('under', 'medicaid')",1.3384667393497008e-05
45,"('society', 'human')",1.3384667393497008e-05
46,"('human', 'abortion')",1.3384667393497008e-05
47,"('abortion', 'founded')",1.3384667393497008e-05
48,"('antiabortion', 'rights')",1.3384667393497008e-05
49,"('singer', 'boone')",1.3384667393497008e-05
