,word,relevance_score
0,"('clinics', 'state')",1.595943750168732
1,"('abortion', 'clinics')",1.1260805169330437
2,"('illegal', 'abortion')",1.1260805169330437
3,"('abortion', 'services')",1.6335782749317828e-05
4,"('died', 'trying')",1.3168778110949368e-05
5,"('connecticut', 'died')",1.3168778110949368e-05
6,"('santoro', 'connecticut')",1.3168778110949368e-05
7,"('gerri', 'santoro')",1.3168778110949368e-05
8,"('performed', 'connecticut')",1.3168778110949368e-05
9,"('legal', 'abortions')",1.3168778110949368e-05
10,"('number', 'abortion')",1.3168778110949368e-05
11,"('were', 'planned')",1.3168778110949368e-05
12,"('physician', ""''"")",1.3168778110949368e-05
13,"('with', 'physician')",1.3168778110949368e-05
14,"('``', 'prochoice')",1.3168778110949368e-05
15,"('woman', 'consultation')",1.3168778110949368e-05
16,"('pregnant', 'woman')",1.3168778110949368e-05
17,"('that', 'pregnant')",1.3168778110949368e-05
18,"('solely', 'that')",1.3168778110949368e-05
19,"('shall', 'solely')",1.3168778110949368e-05
20,"('fetus', 'shall')",1.3168778110949368e-05
21,"('viability', 'fetus')",1.3168778110949368e-05
22,"('prior', 'viability')",1.3168778110949368e-05
23,"('pregnancy', 'prior')",1.3168778110949368e-05
24,"('terminate', 'pregnancy')",1.3168778110949368e-05
25,"('trying', 'obtain')",1.3168778110949368e-05
26,"('obtain', 'illegal')",1.3168778110949368e-05
27,"('prochoice', 'movement')",1.3168778110949368e-05
28,"('symbol', 'prochoice')",1.3168778110949368e-05
29,"('abortion', 'clinic')",1.3168778110949368e-05
30,"('state', 'abortion')",1.3168778110949368e-05
31,"('john', 'hallowell')",1.3168778110949368e-05
32,"('surgical', 'abortion')",1.3168778110949368e-05
33,"('resulted', 'death')",1.3168778110949368e-05
34,"('other', 'menstrual')",1.3168778110949368e-05
35,"('menstrual', 'pads')",1.3168778110949368e-05
36,"('rates', 'infant')",1.3168778110949368e-05
37,"('ibis', 'reproductive')",1.3168778110949368e-05
38,"('rights', 'ibis')",1.3168778110949368e-05
39,"('center', 'reproductive')",1.3168778110949368e-05
40,"('viewpoint', '``')",1.3168778110949368e-05
41,"('alternative', 'viewpoint')",1.3168778110949368e-05
42,"('possible', 'light')",1.3168778110949368e-05
43,"('prochoice', ""''"")",1.3168778110949368e-05
44,"('child', ""''"")",1.3168778110949368e-05
45,"('``', 'unborn')",1.3168778110949368e-05
46,"('also', 'term')",1.3168778110949368e-05
47,"('stopthebans', 'movement')",1.3168778110949368e-05
48,"('state', 'participated')",1.3168778110949368e-05
49,"('decision', 'terminate')",1.3168778110949368e-05
