,word,relevance_score
0,"('clinics', 'state')",1.5888786404189112
1,"('abortion', 'clinics')",1.1174146771706863
2,"('abortions', 'state')",1.1174146771706863
3,"('wade', 'ruling')",2.6194758986618814e-05
4,"('women', 'aged')",2.6194758986618814e-05
5,"('rights', 'ibis')",1.3119277320028159e-05
6,"('``', 'abortion')",1.3119277320028159e-05
7,"('viewpoint', '``')",1.3119277320028159e-05
8,"('alternative', 'viewpoint')",1.3119277320028159e-05
9,"('possible', 'light')",1.3119277320028159e-05
10,"('prochoice', ""''"")",1.3119277320028159e-05
11,"('``', 'prochoice')",1.3119277320028159e-05
12,"('child', ""''"")",1.3119277320028159e-05
13,"('``', 'unborn')",1.3119277320028159e-05
14,"('square', 'wilmington')",1.3119277320028159e-05
15,"('rodney', 'square')",1.3119277320028159e-05
16,"('protest', 'rodney')",1.3119277320028159e-05
17,"('stopthebans', 'movement')",1.3119277320028159e-05
18,"('``', 'antiabortion')",1.3119277320028159e-05
19,"('center', 'reproductive')",1.3119277320028159e-05
20,"('other', 'menstrual')",1.3119277320028159e-05
21,"('rates', 'infant')",1.3119277320028159e-05
22,"('legal', 'abortions')",1.3119277320028159e-05
23,"('republican', 'legislative')",1.3119277320028159e-05
24,"('bryant', 'richardson')",1.3119277320028159e-05
25,"('abortion', 'clinic')",1.3119277320028159e-05
26,"('three', 'planned')",1.3119277320028159e-05
27,"('parenthood', 'clinics')",1.3119277320028159e-05
28,"('aged', 'abortions')",1.3119277320028159e-05
29,"('network', 'delaware')",1.3119277320028159e-05
30,"('delaware', 'reproductive')",1.3119277320028159e-05
31,"('reproductive', 'justice')",1.3119277320028159e-05
32,"('justice', 'campaign')",1.3119277320028159e-05
33,"('campaign', 'shané')",1.3119277320028159e-05
34,"('shané', 'darby')",1.3119277320028159e-05
35,"('ibis', 'reproductive')",1.3119277320028159e-05
36,"('case', 'wade')",1.3119277320028159e-05
37,"('also', 'term')",1.3119277320028159e-05
38,"('dnewark', 'introduced')",1.3119277320028159e-05
39,"('adults', 'said')",1.3119277320028159e-05
40,"('therapeutic', 'exceptions')",1.3119277320028159e-05
41,"('informed', 'consent')",1.3119277320028159e-05
42,"('senator', 'bryan')",1.3119277320028159e-05
43,"('legal', 'state')",1.3119277320028159e-05
44,"('bryan', 'townsend')",1.3119277320028159e-05
45,"('townsend', 'dnewark')",1.3119277320028159e-05
46,"('delaware', 'legal')",1.3119277320028159e-05
47,"('legislation', 'make')",1.3119277320028159e-05
48,"('make', 'clear')",1.3119277320028159e-05
49,"('said', 'poll')",1.3119277320028159e-05
