,word,relevance_score
0,"('abortion', 'clinics')",2.2088117626215715
1,"('abortion', 'clinic')",2.2088117626215715
2,"('john', 'britton')",1.5399171236303681
3,"('james', 'barrett')",1.5399171236303681
4,"('fetal', 'heartbeat')",1.5399171236303681
5,"('pensacola', 'florida')",1.5399171236303681
6,"('clinic', 'pensacola')",1.0336892384945184
7,"('texas', 'third')",1.0336892384945184
8,"('with', 'while')",1.0336892384945184
9,"('induced', 'abortions')",1.0336892384945184
10,"('unborn', 'child')",1.0336892384945184
11,"('britton', 'james')",1.0336892384945184
12,"('acid', 'attacks')",1.0336892384945184
13,"('filed', 'florida')",1.0336892384945184
14,"('after', 'weeks')",1.0336892384945184
15,"('arson', 'attacks')",1.0336892384945184
16,"('florida', 'legislature')",1.849867460432337e-05
17,"('abortion', 'restrictions')",1.5666229221143215e-05
18,"('right', 'abortion')",1.5666229221143215e-05
19,"('abortion', 'providers')",1.5666229221143215e-05
20,"('florida', 'constitution')",1.5666229221143215e-05
21,"('florida', 'second')",1.5666229221143215e-05
22,"('shot', 'during')",1.2833347440316242e-05
23,"('both', 'shot')",1.2833347440316242e-05
24,"('shot', 'death')",1.2833347440316242e-05
25,"('death', 'outside')",1.2833347440316242e-05
26,"('while', 'florida')",1.2833347440316242e-05
27,"('ladies', 'center')",1.2833347440316242e-05
28,"('also', 'term')",1.2833347440316242e-05
29,"('``', 'unborn')",1.2833347440316242e-05
30,"('child', ""''"")",1.2833347440316242e-05
31,"('``', 'prochoice')",1.2833347440316242e-05
32,"('planning', 'clinic')",1.2833347440316242e-05
33,"('butyric', 'acid')",1.2833347440316242e-05
34,"('west', 'palm')",1.2833347440316242e-05
35,"('palm', 'beach')",1.2833347440316242e-05
36,"('escort', 'were')",1.2833347440316242e-05
37,"('clinic', 'escort')",1.2833347440316242e-05
38,"('barrett', 'clinic')",1.2833347440316242e-05
39,"('david', 'gunn')",1.2833347440316242e-05
40,"('gunn', 'pensacola')",1.2833347440316242e-05
41,"('prochoice', ""''"")",1.2833347440316242e-05
42,"('july', 'john')",1.2833347440316242e-05
43,"('fatally', 'shot')",1.2833347440316242e-05
44,"('during', 'protest')",1.2833347440316242e-05
45,"('abortions', 'with')",1.2833347440316242e-05
46,"('legal', 'induced')",1.2833347440316242e-05
47,"('family', 'planning')",1.2833347440316242e-05
48,"('alternative', 'viewpoint')",1.2833347440316242e-05
49,"('abortions', 'after')",1.2833347440316242e-05
