,word,relevance_score
0,"('abortions', 'guam')",0.9916948746067035
1,"('women', 'clinic')",0.9916948746067035
2,"('abortion', 'services')",2.5306190679556855e-05
3,"('chamorro', 'women')",1.2653845602111812e-05
4,"('openly', 'provide')",1.2653845602111812e-05
5,"('refused', 'provide')",1.2653845602111812e-05
6,"('abortion', 'provider')",1.2653845602111812e-05
7,"('providing', 'abortion')",1.2653845602111812e-05
8,"('viewpoint', '``')",1.2653845602111812e-05
9,"('alternative', 'viewpoint')",1.2653845602111812e-05
10,"('provide', 'abortions')",1.2653845602111812e-05
11,"('prochoice', ""''"")",1.2653845602111812e-05
12,"('possible', 'light')",1.2653845602111812e-05
13,"('abortions', 'were')",1.2653845602111812e-05
14,"('also', 'term')",1.2653845602111812e-05
15,"('child', ""''"")",1.2653845602111812e-05
16,"('``', 'unborn')",1.2653845602111812e-05
17,"('``', 'prochoice')",1.2653845602111812e-05
18,"('provide', 'abortion')",5.306483573955572e-06
19,"('abortion', ""''"")",5.306483573955572e-06
20,"('elective', 'abortion')",5.306483573955572e-06
21,"(""''"", 'implies')",5.306483573955572e-06
22,"('gestational', 'limit')",2.6539191011582235e-06
23,"('including', 'week')",2.6539191011582235e-06
24,"('provision', 'including')",2.6539191011582235e-06
25,"('abortion', 'provision')",2.6539191011582235e-06
26,"('requirement', 'hour')",2.6539191011582235e-06
27,"('limit', 'physicianonly')",2.6539191011582235e-06
28,"('hour', 'mandatory')",2.6539191011582235e-06
29,"('week', 'gestational')",2.6539191011582235e-06
30,"('physicianonly', 'requirement')",2.6539191011582235e-06
31,"('services', 'women')",2.6539191011582235e-06
32,"('passed', 'creating')",2.6539191011582235e-06
33,"('information', 'passed')",2.6539191011582235e-06
34,"('mandatory', 'waiting')",2.6539191011582235e-06
35,"('woman', 'reproductive')",2.6539191011582235e-06
36,"('gynecologists', 'woman')",2.6539191011582235e-06
37,"('obstetricians', 'gynecologists')",2.6539191011582235e-06
38,"('society', 'obstetricians')",2.6539191011582235e-06
39,"('guam', 'society')",2.6539191011582235e-06
40,"('creating', 'restrictions')",2.6539191011582235e-06
41,"('hospital', 'clinic')",2.6539191011582235e-06
42,"('edmund', 'griley')",2.6539191011582235e-06
43,"('were', 'clinics')",2.6539191011582235e-06
44,"('june', 'this')",2.6539191011582235e-06
45,"('clinic', 'retired')",2.6539191011582235e-06
46,"('freeman', 'women')",2.6539191011582235e-06
47,"('william', 'freeman')",2.6539191011582235e-06
48,"('retired', 'then')",2.6539191011582235e-06
49,"('polyclinic', 'retired')",2.6539191011582235e-06
