,word,relevance_score
0,"('abortion', 'clinics')",1.6032190160016286
1,"('clinics', 'state')",1.6032190160016286
2,"('abortion', 'clinic')",1.1363399999716974
3,"('abortion', 'services')",2.5851777007810825e-05
4,"('abortion', 'that')",1.6307159847500394e-05
5,"('women', 'aged')",1.6307159847500394e-05
6,"('women', 'seeking')",1.6307159847500394e-05
7,"('stopthebans', 'movement')",1.3125810062025568e-05
8,"('prochoice', ""''"")",1.3125810062025568e-05
9,"('``', 'prochoice')",1.3125810062025568e-05
10,"('child', ""''"")",1.3125810062025568e-05
11,"('``', 'unborn')",1.3125810062025568e-05
12,"('also', 'term')",1.3125810062025568e-05
13,"('aged', 'abortions')",1.3125810062025568e-05
14,"('were', 'abortions')",1.3125810062025568e-05
15,"('number', 'abortion')",1.3125810062025568e-05
16,"('female', ""''"")",1.3125810062025568e-05
17,"('health', 'female')",1.3125810062025568e-05
18,"('life', 'health')",1.3125810062025568e-05
19,"('possible', 'light')",1.3125810062025568e-05
20,"('alternative', 'viewpoint')",1.3125810062025568e-05
21,"('ibis', 'reproductive')",1.3125810062025568e-05
22,"('center', 'reproductive')",1.3125810062025568e-05
23,"('rights', 'ibis')",1.3125810062025568e-05
24,"('protect', 'life')",1.3125810062025568e-05
25,"('rates', 'infant')",1.3125810062025568e-05
26,"('access', 'abortion')",1.3125810062025568e-05
27,"('rural', 'women')",1.3125810062025568e-05
28,"('seeking', 'abortion')",1.3125810062025568e-05
29,"('abortion', 'first')",1.3125810062025568e-05
30,"('abortions', 'were')",1.3125810062025568e-05
31,"('abortions', 'hawaii')",1.3125810062025568e-05
32,"('women', 'getting')",1.3125810062025568e-05
33,"('getting', 'abortions')",1.3125810062025568e-05
34,"('viewpoint', '``')",1.3125810062025568e-05
35,"('fetus', 'abortion')",1.3125810062025568e-05
36,"('live', 'births')",1.3125810062025568e-05
37,"('abortion', 'nonviable')",1.3125810062025568e-05
38,"('nonviable', 'fetus')",1.3125810062025568e-05
39,"('obtain', 'abortion')",1.3125810062025568e-05
40,"('said', 'poll')",1.3125810062025568e-05
41,"('female', 'right')",1.3125810062025568e-05
42,"('deny', 'interfere')",1.3125810062025568e-05
43,"('poll', 'research')",1.3125810062025568e-05
44,"('shall', 'deny')",1.3125810062025568e-05
45,"('ability', 'access')",6.307295523493459e-06
46,"('poor', 'rural')",6.307295523493459e-06
47,"(""''"", 'implies')",6.307295523493459e-06
48,"('wade', 'ruling')",6.307295523493459e-06
49,"('have', 'abortion')",6.307295523493459e-06
