,word,relevance_score
0,"('induced', 'abortions')",1.9438834433465175
1,"('with', 'idaho')",1.6672430318577482
2,"('dakota', 'third')",1.220911121820279
3,"('live', 'births')",1.220911121820279
4,"('with', 'while')",1.220911121820279
5,"('life', 'mother')",1.220911121820279
6,"('rape', 'incest')",1.220911121820279
7,"('idaho', 'lowest')",1.220911121820279
8,"('abortion', 'clinics')",1.220911121820279
9,"('abortion', 'clinic')",1.220911121820279
10,"('informed', 'consent')",1.220911121820279
11,"('women', 'aged')",1.1726041896687343
12,"('rates', 'infant')",1.3580189100408564e-05
13,"('aged', 'abortions')",1.3580189100408564e-05
14,"('rights', 'ibis')",1.3580189100408564e-05
15,"('viewpoint', '``')",1.3580189100408564e-05
16,"('alternative', 'viewpoint')",1.3580189100408564e-05
17,"('possible', 'light')",1.3580189100408564e-05
18,"('ibis', 'reproductive')",1.3580189100408564e-05
19,"('center', 'reproductive')",1.3580189100408564e-05
20,"('clinics', 'state')",1.3580189100408564e-05
21,"('abortions', 'after')",1.3580189100408564e-05
22,"('wade', 'dobbs')",1.3580189100408564e-05
23,"('prochoice', ""''"")",1.3580189100408564e-05
24,"('legal', 'induced')",1.3580189100408564e-05
25,"('dakota', 'second')",1.3580189100408564e-05
26,"('abortions', 'with')",1.3580189100408564e-05
27,"('births', 'while')",1.3580189100408564e-05
28,"('city', 'highest')",1.3580189100408564e-05
29,"('views', 'activities')",1.3580189100408564e-05
30,"('menstrual', 'pads')",1.3580189100408564e-05
31,"('``', 'prochoice')",1.3580189100408564e-05
32,"('other', 'menstrual')",1.3580189100408564e-05
33,"('child', ""''"")",1.3580189100408564e-05
34,"('``', 'unborn')",1.3580189100408564e-05
35,"('abortion', 'idaho')",1.3580189100408564e-05
36,"('induced', 'abortion')",1.3580189100408564e-05
37,"('also', 'term')",1.3580189100408564e-05
38,"('have', 'abortion')",7.159881570527478e-06
39,"('abortion', 'services')",7.159881570527478e-06
40,"('abortion', ""''"")",7.159881570527478e-06
41,"('abortions', 'women')",7.159881570527478e-06
42,"('elective', 'abortion')",7.159881570527478e-06
43,"('while', 'york')",7.159881570527478e-06
44,"('number', 'legal')",7.159881570527478e-06
45,"(""''"", 'implies')",7.159881570527478e-06
46,"('wade', 'ruling')",7.159881570527478e-06
47,"('woman', 'abortion')",7.159881570527478e-06
48,"('women', 'health')",4.334531645537913e-06
49,"('hole', 'wyoming')",3.5802533099314434e-06
