,word,relevance_score
0,"('abortion', 'clinics')",2.272595038124722
1,"('eagle', 'forum')",2.100720747894928
2,"('abortion', 'were')",1.1338222069445922
3,"('therapeutic', 'abortions')",1.1338222069445922
4,"('prolife', 'action')",1.1338222069445922
5,"('abortion', 'clinic')",1.1338222069445922
6,"('illinois', 'abortion')",1.1338222069445922
7,"('reproductive', 'health')",2.2973007857420127e-05
8,"('abortion', 'services')",1.6514625756284745e-05
9,"('action', 'league')",1.6514625756284745e-05
10,"('life', 'mother')",1.3260248806857368e-05
11,"('menstrual', 'pads')",1.3260248806857368e-05
12,"('access', 'abortion')",1.3260248806857368e-05
13,"('rates', 'infant')",1.3260248806857368e-05
14,"('ibis', 'reproductive')",1.3260248806857368e-05
15,"('rights', 'ibis')",1.3260248806857368e-05
16,"('clinics', 'state')",1.3260248806857368e-05
17,"('sale', 'drugs')",1.3260248806857368e-05
18,"('viewpoint', '``')",1.3260248806857368e-05
19,"('alternative', 'viewpoint')",1.3260248806857368e-05
20,"('possible', 'light')",1.3260248806857368e-05
21,"('prochoice', ""''"")",1.3260248806857368e-05
22,"('``', 'prochoice')",1.3260248806857368e-05
23,"('child', ""''"")",1.3260248806857368e-05
24,"('``', 'unborn')",1.3260248806857368e-05
25,"('center', 'reproductive')",1.3260248806857368e-05
26,"('abortion', 'before')",1.3260248806857368e-05
27,"('notice', 'abortion')",1.3260248806857368e-05
28,"('assisted', 'women')",1.3260248806857368e-05
29,"('sidewalk', 'counseling')",1.3260248806857368e-05
30,"('conservative', 'women')",1.3260248806857368e-05
31,"('forum', 'newsletter')",1.3260248806857368e-05
32,"('abortion', 'bans')",1.3260248806857368e-05
33,"('pritzker', 'signed')",1.3260248806857368e-05
34,"('illinois', 'reproductive')",1.3260248806857368e-05
35,"('abortions', 'after')",1.3260248806857368e-05
36,"('banned', 'abortions')",1.3260248806857368e-05
37,"('under', 'medicaid')",1.3260248806857368e-05
38,"('clinics', 'illinois')",1.3260248806857368e-05
39,"('required', 'physicians')",1.3260248806857368e-05
40,"('before', 'viability')",1.3260248806857368e-05
41,"('parental', 'notice')",1.3260248806857368e-05
42,"('assembly', 'enacted')",1.3260248806857368e-05
43,"('safe', 'abortions')",1.3260248806857368e-05
44,"('jane', 'collective')",1.3260248806857368e-05
45,"('also', 'term')",1.3260248806857368e-05
46,"('guttmacher', 'institute')",1.3260248806857368e-05
47,"('trust', 'fund')",1.3260248806857368e-05
48,"('number', 'therapeutic')",1.3260248806857368e-05
49,"('number', 'abortion')",1.3260248806857368e-05
