,word,relevance_score
0,"('induced', 'abortion')",1.5949450092463706
1,"('clinics', 'state')",1.5949450092463706
2,"('abortion', 'clinics')",1.5949450092463706
3,"('banned', 'abortion')",1.1226381583863314
4,"('place', 'state')",1.1226381583863314
5,"('women', 'aged')",2.5488371151785216e-05
6,"('have', 'abortion')",1.6195279656518036e-05
7,"('consent', 'provision')",1.3100656195332487e-05
8,"('informed', 'consent')",1.3100656195332487e-05
9,"('number', 'abortion')",1.3100656195332487e-05
10,"('legal', 'abortions')",1.3100656195332487e-05
11,"('child', ""''"")",1.3100656195332487e-05
12,"('least', 'protest')",1.3100656195332487e-05
13,"('customary', 'informed')",1.3100656195332487e-05
14,"('protest', 'part')",1.3100656195332487e-05
15,"('part', 'stopthebans')",1.3100656195332487e-05
16,"('stopthebans', 'took')",1.3100656195332487e-05
17,"('have', 'banned')",1.3100656195332487e-05
18,"('also', 'term')",1.3100656195332487e-05
19,"('provision', 'abortions')",1.3100656195332487e-05
20,"('``', 'unborn')",1.3100656195332487e-05
21,"('legislature', 'introduced')",1.3100656195332487e-05
22,"('prochoice', ""''"")",1.3100656195332487e-05
23,"('feel', 'pain')",1.3100656195332487e-05
24,"('possible', 'light')",1.3100656195332487e-05
25,"('alternative', 'viewpoint')",1.3100656195332487e-05
26,"('viewpoint', '``')",1.3100656195332487e-05
27,"('center', 'reproductive')",1.3100656195332487e-05
28,"('rights', 'ibis')",1.3100656195332487e-05
29,"('ibis', 'reproductive')",1.3100656195332487e-05
30,"('abortions', 'state')",1.3100656195332487e-05
31,"('other', 'menstrual')",1.3100656195332487e-05
32,"('rates', 'infant')",1.3100656195332487e-05
33,"('most', 'restrictive')",1.3100656195332487e-05
34,"('menstrual', 'pads')",1.3100656195332487e-05
35,"('``', 'prochoice')",1.3100656195332487e-05
36,"('fetus', 'feel')",1.3100656195332487e-05
37,"('pain', 'state')",1.3100656195332487e-05
38,"('after', 'weeks')",1.3100656195332487e-05
39,"('were', 'planned')",1.3100656195332487e-05
40,"('adults', 'said')",1.3100656195332487e-05
41,"('abortion', 'almost')",1.3100656195332487e-05
42,"('said', 'poll')",1.3100656195332487e-05
43,"('unsafe', 'abortion')",1.3100656195332487e-05
44,"('illegal', 'abortion')",1.3100656195332487e-05
45,"('poll', 'research')",1.3100656195332487e-05
46,"('after', 'bell')",1.3100656195332487e-05
47,"('went', 'planned')",1.3100656195332487e-05
48,"('abortion', 'clinic')",1.3100656195332487e-05
49,"('parenthood', 'clinics')",1.3100656195332487e-05
