,word,relevance_score
0,"('clinics', 'state')",1.6192238708278193
1,"('iowa', 'constitution')",1.6192238708278193
2,"('early', 'abortion')",1.1587900813014704
3,"('family', 'leader')",1.1587900813014704
4,"('abortion', 'clinics')",1.1587900813014704
5,"('abortion', 'iowa')",1.1587900813014704
6,"('governor', 'reynolds')",1.1587900813014704
7,"('abortion', 'services')",2.661672824387646e-05
8,"('women', 'aged')",2.661672824387646e-05
9,"('should', 'illegal')",1.9932329082122377e-05
10,"('illegal', 'most')",1.9932329082122377e-05
11,"('abortion', 'should')",1.9932329082122377e-05
12,"('should', 'legal')",1.9932329082122377e-05
13,"('abortion', ""''"")",1.6617339613304564e-05
14,"('right', 'abortion')",1.6617339613304564e-05
15,"('believe', 'should')",1.6617339613304564e-05
16,"('other', 'menstrual')",1.3307000010649591e-05
17,"('alternative', 'viewpoint')",1.3307000010649591e-05
18,"('that', 'tried')",1.3307000010649591e-05
19,"('menstrual', 'pads')",1.3307000010649591e-05
20,"('rates', 'infant')",1.3307000010649591e-05
21,"('possible', 'light')",1.3307000010649591e-05
22,"('ibis', 'reproductive')",1.3307000010649591e-05
23,"('viewpoint', '``')",1.3307000010649591e-05
24,"('center', 'reproductive')",1.3307000010649591e-05
25,"('abortion', 'clinic')",1.3307000010649591e-05
26,"('``', 'prochoice')",1.3307000010649591e-05
27,"('child', ""''"")",1.3307000010649591e-05
28,"('``', 'unborn')",1.3307000010649591e-05
29,"('protecting', 'life')",1.3307000010649591e-05
30,"('also', 'term')",1.3307000010649591e-05
31,"('violated', 'iowa')",1.3307000010649591e-05
32,"('abortion', 'violated')",1.3307000010649591e-05
33,"('arguing', 'early')",1.3307000010649591e-05
34,"('court', 'arguing')",1.3307000010649591e-05
35,"('relief', 'state')",1.3307000010649591e-05
36,"('declaratory', 'injunctive')",1.3307000010649591e-05
37,"('prochoice', ""''"")",1.3307000010649591e-05
38,"('banned', 'abortion')",1.3307000010649591e-05
39,"('violation', 'iowa')",1.3307000010649591e-05
40,"('successfully', 'passed')",1.3307000010649591e-05
41,"('sign', 'pledge')",1.3307000010649591e-05
42,"('views', 'activities')",1.3307000010649591e-05
43,"('rights', 'views')",1.3307000010649591e-05
44,"('while', 'believe')",1.3307000010649591e-05
45,"('iowans', 'believe')",1.3307000010649591e-05
46,"('most', 'casesin')",1.3307000010649591e-05
47,"('aged', 'abortions')",1.3307000010649591e-05
48,"('parenthood', 'clinics')",1.3307000010649591e-05
49,"('iowa', 'supreme')",1.3307000010649591e-05
