,word,relevance_score
0,"('abortion', 'clinics')",2.034945862781537
1,"('clinics', 'state')",1.7620959705328003
2,"('abortion', 'clinic')",1.7620959705328003
3,"('woman', 'health')",1.3397061878456105
4,"('whole', 'woman')",1.3397061878456105
5,"('women', 'aged')",1.2742892438180957
6,"('abortion', 'providers')",0.8879481437188728
7,"('abortion', 'services')",1.822288742094338e-05
8,"('views', 'activities')",1.411148419904867e-05
9,"('abortion', 'seekers')",1.411148419904867e-05
10,"('adults', 'said')",1.411148419904867e-05
11,"('offered', 'abortion')",1.411148419904867e-05
12,"('circuit', 'order')",1.411148419904867e-05
13,"('clinic', 'that')",1.411148419904867e-05
14,"('life', 'mother')",1.411148419904867e-05
15,"('emergency', 'stay')",1.411148419904867e-05
16,"('state', 'passed')",1.411148419904867e-05
17,"('banned', 'abortion')",1.411148419904867e-05
18,"('june', 'medical')",1.411148419904867e-05
19,"('stay', 'fifth')",1.411148419904867e-05
20,"('abortions', 'state')",1.411148419904867e-05
21,"('rights', 'views')",1.411148419904867e-05
22,"('acid', 'attacks')",1.411148419904867e-05
23,"('should', 'legal')",1.2334445326642677e-05
24,"('illegal', 'most')",1.2334445326642677e-05
25,"('should', 'illegal')",1.2334445326642677e-05
26,"('abortion', 'should')",1.2334445326642677e-05
27,"('court', 'reversed')",8.223005190362904e-06
28,"('abortion', 'that')",8.223005190362904e-06
29,"('right', 'abortion')",8.223005190362904e-06
30,"('woman', 'right')",8.223005190362904e-06
31,"('passed', 'only')",8.223005190362904e-06
32,"('medical', 'services')",8.223005190362904e-06
33,"('petitioned', 'supreme')",8.223005190362904e-06
34,"('louisiana', 'voters')",4.111543083794935e-06
35,"('fetal', 'heartbeat')",4.111543083794935e-06
36,"('billin', 'louisiana')",4.111543083794935e-06
37,"('female', 'only')",4.111543083794935e-06
38,"('heartbeat', ""''"")",4.111543083794935e-06
39,"('attacks', 'bombings')",4.111543083794935e-06
40,"('female', 'representatives')",4.111543083794935e-06
41,"('murder', 'acid')",4.111543083794935e-06
42,"('bombings', 'murder')",4.111543083794935e-06
43,"('legislators', 'were')",4.111543083794935e-06
44,"('only', 'female')",4.111543083794935e-06
45,"('against', 'billin')",4.111543083794935e-06
46,"('``', 'fetal')",4.111543083794935e-06
47,"('bill', 'created')",4.111543083794935e-06
48,"('state', 'referendum')",4.111543083794935e-06
49,"('midmay', 'state')",4.111543083794935e-06
