,word,relevance_score
0,"('were', 'abortions')",1.5909201077006767
1,"('aged', 'there')",1.1213418466924263
2,"(""''"", 'relating')",1.1213418466924263
3,"('procuring', 'abortions')",1.1213418466924263
4,"('birth', 'procuring')",1.1213418466924263
5,"('concealment', 'birth')",1.1213418466924263
6,"('abortion', ""''"")",2.626528564516635e-05
7,"('women', 'aged')",2.626528564516635e-05
8,"('wade', 'ruling')",1.6355039064200136e-05
9,"('human', 'pregnancy')",1.3178155634275033e-05
10,"('``', 'prochoice')",1.3178155634275033e-05
11,"('possible', 'light')",1.3178155634275033e-05
12,"('child', ""''"")",1.3178155634275033e-05
13,"('prochoice', ""''"")",1.3178155634275033e-05
14,"('``', 'unborn')",1.3178155634275033e-05
15,"('termination', 'human')",1.3178155634275033e-05
16,"('relating', 'termination')",1.3178155634275033e-05
17,"('alternative', 'viewpoint')",1.3178155634275033e-05
18,"('``', 'joint')",1.3178155634275033e-05
19,"('center', 'reproductive')",1.3178155634275033e-05
20,"('rights', 'ibis')",1.3178155634275033e-05
21,"('before', 'viability')",1.3178155634275033e-05
22,"('ibis', 'reproductive')",1.3178155634275033e-05
23,"('abortion', 'were')",1.3178155634275033e-05
24,"('abortions', 'passed')",1.3178155634275033e-05
25,"('rates', 'infant')",1.3178155634275033e-05
26,"('abortionrelated', 'legislation')",1.3178155634275033e-05
27,"('viewpoint', '``')",1.3178155634275033e-05
28,"('pregnancy', 'before')",1.3178155634275033e-05
29,"('menstrual', 'pads')",1.3178155634275033e-05
30,"('also', 'term')",1.3178155634275033e-05
31,"('abortion', 'clinic')",1.3178155634275033e-05
32,"('adults', 'said')",1.3178155634275033e-05
33,"('said', 'poll')",1.3178155634275033e-05
34,"('clinics', 'state')",1.3178155634275033e-05
35,"('abortion', 'clinics')",1.3178155634275033e-05
36,"('fetus', 'viable')",1.3178155634275033e-05
37,"('poll', 'research')",1.3178155634275033e-05
38,"('other', 'menstrual')",1.3178155634275033e-05
39,"('legal', 'with')",1.3178155634275033e-05
40,"('with', 'stating')",1.3178155634275033e-05
41,"('assist', 'abortions')",1.3178155634275033e-05
42,"('abortions', ""''"")",1.3178155634275033e-05
43,"('perform', 'assist')",1.3178155634275033e-05
44,"('abortion', 'services')",6.355175516600634e-06
45,"('woman', 'right')",6.355175516600634e-06
46,"('have', 'abortion')",6.355175516600634e-06
47,"('elective', 'abortion')",6.355175516600634e-06
48,"(""''"", 'implies')",6.355175516600634e-06
49,"('again', 'pass')",3.1782235535840408e-06
