,word,relevance_score
0,"('legal', 'abortions')",2.498179945721232
1,"('abortion', 'clinics')",1.8393730154208086
2,"('maryland', 'house')",1.556076717685483
3,"('another', 'barrier')",1.556076717685483
4,"('safe', 'legal')",1.4829520440928485
5,"('clinics', 'state')",1.0658697013087879
6,"('abortion', 'access')",1.0658697013087879
7,"('pregnancy', 'centers')",1.0658697013087879
8,"('pregnant', 'patients')",1.0658697013087879
9,"('parental', 'notification')",1.0498989378948669
10,"('women', 'aged')",1.5842099628774477e-05
11,"('abortion', 'providers')",1.5842099628774477e-05
12,"('abortion', 'services')",1.5842099628774477e-05
13,"('parenthood', 'clinics')",1.291739823542859e-05
14,"('abortion', 'clinic')",1.291739823542859e-05
15,"('contraception', 'which')",1.291739823542859e-05
16,"('pregnancy', 'than')",1.291739823542859e-05
17,"('parent', 'guardian')",1.291739823542859e-05
18,"('barriers', 'access')",1.291739823542859e-05
19,"('abortions', 'after')",1.291739823542859e-05
20,"('there', 'fetal')",1.291739823542859e-05
21,"('closing', 'clinics')",1.291739823542859e-05
22,"('that', 'offer')",1.291739823542859e-05
23,"('disclose', 'their')",1.291739823542859e-05
24,"('crisis', 'pregnancy')",1.291739823542859e-05
25,"('viewpoint', '``')",1.291739823542859e-05
26,"('abortion', 'bans')",1.291739823542859e-05
27,"('barrier', 'access')",1.291739823542859e-05
28,"('introduce', 'another')",1.291739823542859e-05
29,"('unsafe', 'abortions')",1.291739823542859e-05
30,"('women', 'maryland')",1.291739823542859e-05
31,"('clinics', 'that')",1.291739823542859e-05
32,"('after', 'viability')",1.291739823542859e-05
33,"('alternative', 'viewpoint')",1.291739823542859e-05
34,"('access', 'safe')",1.291739823542859e-05
35,"('abortions', 'many')",1.291739823542859e-05
36,"('many', 'maryland')",1.291739823542859e-05
37,"('clinic', 'locations')",1.291739823542859e-05
38,"('clinics', 'providers')",1.291739823542859e-05
39,"('patients', 'abortion')",1.291739823542859e-05
40,"('rely', 'title')",1.291739823542859e-05
41,"('views', 'activities')",1.291739823542859e-05
42,"('days', 'life')",1.291739823542859e-05
43,"('access', 'many')",1.291739823542859e-05
44,"('possible', 'light')",1.291739823542859e-05
45,"('maryland', 'women')",1.291739823542859e-05
46,"('said', 'poll')",1.291739823542859e-05
47,"('prochoice', ""''"")",1.291739823542859e-05
48,"('``', 'prochoice')",1.291739823542859e-05
49,"('poll', 'research')",1.291739823542859e-05
