,word,relevance_score
0,"('abortion', 'clinics')",2.171921696354485
1,"('clinics', 'state')",1.245605696217549
2,"('parental', 'consent')",0.7261709009252861
3,"('ability', 'minors')",1.368155892252235e-05
4,"('alternative', 'viewpoint')",1.368155892252235e-05
5,"('viewpoint', '``')",1.368155892252235e-05
6,"('center', 'reproductive')",1.368155892252235e-05
7,"('rights', 'ibis')",1.368155892252235e-05
8,"('ibis', 'reproductive')",1.368155892252235e-05
9,"('views', 'activities')",1.368155892252235e-05
10,"('rates', 'infant')",1.368155892252235e-05
11,"('abortions', 'only')",1.368155892252235e-05
12,"('possible', 'light')",1.368155892252235e-05
13,"('foot', 'buffer')",1.368155892252235e-05
14,"('buffer', 'zone')",1.368155892252235e-05
15,"('zone', 'around')",1.368155892252235e-05
16,"('around', 'abortion')",1.368155892252235e-05
17,"('abortions', 'after')",1.368155892252235e-05
18,"('abortion', 'clinic')",1.368155892252235e-05
19,"('after', 'week')",1.368155892252235e-05
20,"('minors', 'seeking')",1.368155892252235e-05
21,"('prochoice', ""''"")",1.368155892252235e-05
22,"('needed', 'able')",1.368155892252235e-05
23,"('child', ""''"")",1.368155892252235e-05
24,"('``', 'unborn')",1.368155892252235e-05
25,"('also', 'term')",1.368155892252235e-05
26,"('number', 'abortion')",1.368155892252235e-05
27,"('``', 'prochoice')",1.368155892252235e-05
28,"('legal', 'abortions')",1.368155892252235e-05
29,"('women', 'aged')",7.361968688592326e-06
30,"('have', 'abortion')",7.361968688592326e-06
31,"('wade', 'ruling')",7.361968688592326e-06
32,"('seeking', 'abortions')",7.361968688592326e-06
33,"('requiring', 'parental')",7.361968688592326e-06
34,"('abortion', 'services')",7.361968688592326e-06
35,"(""''"", 'implies')",7.361968688592326e-06
36,"('abortion', ""''"")",7.361968688592326e-06
37,"('elective', 'abortion')",7.361968688592326e-06
38,"('abortions', 'performed')",7.361968688592326e-06
39,"('fetus', 'viable')",3.6816221166931324e-06
40,"('with', 'wade')",3.6816221166931324e-06
41,"('generally', 'some')",3.6816221166931324e-06
42,"('yearold', 'junior')",3.6816221166931324e-06
43,"('university', 'become')",3.6816221166931324e-06
44,"('defined', 'supreme')",3.6816221166931324e-06
45,"('standard', 'defined')",3.6816221166931324e-06
46,"('period', 'uses')",3.6816221166931324e-06
47,"('junior', 'harvard')",3.6816221166931324e-06
48,"('viable', 'generally')",3.6816221166931324e-06
49,"('prohibited', 'abortions')",3.6816221166931324e-06
