,word,relevance_score
0,"('abortion', 'clinic')",1.8691888304518836
1,"('abortion', 'clinics')",1.5871889924772786
2,"('legal', 'abortions')",1.5871889924772786
3,"('abortions', 'state')",1.5871889924772786
4,"('clinics', 'state')",1.5871889924772786
5,"('informed', 'consent')",1.1100551818047435
6,"('women', 'aged')",1.0845767899035317
7,"('abortions', 'performed')",1.624142830172691e-05
8,"('parental', 'consent')",1.624142830172691e-05
9,"('abortions', 'there')",1.3100424321328889e-05
10,"('total', 'abortions')",1.3100424321328889e-05
11,"('performed', 'michigan')",1.3100424321328889e-05
12,"('ibis', 'reproductive')",1.3100424321328889e-05
13,"('also', 'term')",1.3100424321328889e-05
14,"('rights', 'ibis')",1.3100424321328889e-05
15,"('``', 'unborn')",1.3100424321328889e-05
16,"('dilation', 'evacuation')",1.3100424321328889e-05
17,"('center', 'reproductive')",1.3100424321328889e-05
18,"('``', 'prochoice')",1.3100424321328889e-05
19,"('funded', 'abortions')",1.3100424321328889e-05
20,"('prochoice', ""''"")",1.3100424321328889e-05
21,"('said', 'during')",1.3100424321328889e-05
22,"('viewpoint', '``')",1.3100424321328889e-05
23,"('child', ""''"")",1.3100424321328889e-05
24,"('rates', 'infant')",1.3100424321328889e-05
25,"('convictions', 'women')",1.3100424321328889e-05
26,"('that', 'tried')",1.3100424321328889e-05
27,"('were', 'planned')",1.3100424321328889e-05
28,"('parenthood', 'clinics')",1.3100424321328889e-05
29,"('number', 'abortion')",1.3100424321328889e-05
30,"('pregnancy', 'often')",1.3100424321328889e-05
31,"('seven', 'publicly')",1.3100424321328889e-05
32,"('were', 'legal')",1.3100424321328889e-05
33,"('alternative', 'viewpoint')",1.3100424321328889e-05
34,"('were', 'indictments')",1.3100424321328889e-05
35,"('indictments', 'convictions')",1.3100424321328889e-05
36,"('possible', 'light')",1.3100424321328889e-05
37,"('aged', 'abortions')",1.3100424321328889e-05
38,"('later', 'pregnancy')",1.3100424321328889e-05
39,"('abortions', 'women')",6.241569264391664e-06
40,"('michigan', 'only')",6.241569264391664e-06
41,"('abortion', 'providers')",6.241569264391664e-06
42,"('abortion', 'services')",6.241569264391664e-06
43,"(""''"", 'implies')",6.241569264391664e-06
44,"('women', 'having')",6.241569264391664e-06
45,"('antiabortion', 'democrats')",6.241569264391664e-06
46,"('going', 'from')",6.241569264391664e-06
47,"('having', 'abortions')",6.241569264391664e-06
48,"('state', 'seven')",6.241569264391664e-06
49,"('publicly', 'funded')",6.241569264391664e-06
