,word,relevance_score
0,"('abortion', 'clinics')",1.6854066234560827
1,"('abortion', 'clinic')",1.6854066234560827
2,"('cases', 'said')",1.2444815037403991
3,"('judicial', 'bypass')",1.2444815037403991
4,"('abortion', 'should')",2.143449835507223e-05
5,"('seeking', 'abortions')",1.7623113019546416e-05
6,"('women', 'aged')",1.7623113019546416e-05
7,"('fourteen', 'there')",1.3811614534455354e-05
8,"('minnesota', 'family')",1.3811614534455354e-05
9,"('family', 'council')",1.3811614534455354e-05
10,"('abortions', 'after')",1.3811614534455354e-05
11,"('between', 'weeks')",1.3811614534455354e-05
12,"('states', 'nationwide')",1.3811614534455354e-05
13,"('nationwide', 'that')",1.3811614534455354e-05
14,"('that', 'tried')",1.3811614534455354e-05
15,"('should', 'deemed')",1.3811614534455354e-05
16,"('heartbeat', 'bill')",1.3811614534455354e-05
17,"('resulted', 'death')",1.3811614534455354e-05
18,"('jane', 'hodgson')",1.3811614534455354e-05
19,"('that', 'twoparent')",1.3811614534455354e-05
20,"('clinics', 'state')",1.3811614534455354e-05
21,"('aged', 'abortions')",1.3811614534455354e-05
22,"('views', 'activities')",1.3811614534455354e-05
23,"('twenty', 'fourteen')",1.3811614534455354e-05
24,"('number', 'abortion')",1.3811614534455354e-05
25,"('rights', 'community')",1.3811614534455354e-05
26,"('consent', 'laws')",1.3811614534455354e-05
27,"('informed', 'consent')",1.3811614534455354e-05
28,"('adults', 'said')",1.3811614534455354e-05
29,"('abortion', 'minnesota')",1.3811614534455354e-05
30,"('justice', ""o'connor"")",7.623236787600472e-06
31,"('going', 'from')",7.623236787600472e-06
32,"('from', 'twenty')",7.623236787600472e-06
33,"('women', 'seeking')",7.623236787600472e-06
34,"('criminal', 'offense')",7.623236787600472e-06
35,"('parental', 'consent')",7.623236787600472e-06
36,"('women', 'state')",5.2462646020325136e-06
37,"('misguided', 'desires')",3.8116764178927407e-06
38,"('abortion', 'financing')",3.8116764178927407e-06
39,"('death', 'misguided')",3.8116764178927407e-06
40,"('hodgson', 'abortion')",3.8116764178927407e-06
41,"('desire', 'criminal')",3.8116764178927407e-06
42,"('meant', 'state')",3.8116764178927407e-06
43,"('desires', 'mistaken')",3.8116764178927407e-06
44,"('state', 'funds')",3.8116764178927407e-06
45,"('woman', 'minnesota')",3.8116764178927407e-06
46,"('longer', 'regulate')",3.8116764178927407e-06
47,"('ruling', 'meant')",3.8116764178927407e-06
48,"('minnesota', 'hodgson')",3.8116764178927407e-06
49,"('death', 'imprisonment')",3.8116764178927407e-06
