,word,relevance_score
0,"('abortion', 'clinic')",2.3374966622249915
1,"('fetal', 'heartbeat')",1.6762572184230324
2,"('remaining', 'abortion')",1.2328871442107636
3,"('filed', 'missouri')",1.2328871442107636
4,"('parenthood', 'clinics')",1.2328871442107636
5,"('heartbeat', 'bill')",1.2328871442107636
6,"('abortion', 'clinics')",1.2328871442107636
7,"('abortion', 'services')",0.7045784087934235
8,"('women', 'aged')",0.7045784087934235
9,"('planned', 'parenthood')",2.63444281495318e-05
10,"('reproductive', 'health')",2.418498105619717e-05
11,"('missouri', 'house')",1.7092743589901572e-05
12,"('tried', 'failed')",1.7092743589901572e-05
13,"('services', 'state')",1.7092743589901572e-05
14,"('last', 'remaining')",1.7092743589901572e-05
15,"('ambulatory', 'surgical')",1.3551880368502712e-05
16,"('licensed', 'ambulatory')",1.3551880368502712e-05
17,"('after', 'weeks')",1.3551880368502712e-05
18,"('banned', 'abortion')",1.3551880368502712e-05
19,"('have', 'banned')",1.3551880368502712e-05
20,"('have', 'hospital')",1.3551880368502712e-05
21,"('life', 'mother')",1.3551880368502712e-05
22,"('menstrual', 'pads')",1.3551880368502712e-05
23,"('louisiana', 'alabama')",1.3551880368502712e-05
24,"('that', 'tried')",1.3551880368502712e-05
25,"('viewpoint', '``')",1.3551880368502712e-05
26,"('failed', 'again')",1.3551880368502712e-05
27,"('hospital', 'admitting')",1.3551880368502712e-05
28,"('were', 'planned')",1.3551880368502712e-05
29,"('clinics', 'state')",1.3551880368502712e-05
30,"('only', 'abortion')",1.3551880368502712e-05
31,"('clinic', 'that')",1.3551880368502712e-05
32,"('alternative', 'viewpoint')",1.3551880368502712e-05
33,"('irreparable', 'injury')",1.3551880368502712e-05
34,"('aged', 'abortions')",1.3551880368502712e-05
35,"('views', 'activities')",1.3551880368502712e-05
36,"('about', 'granting')",1.3551880368502712e-05
37,"('granting', 'temporary')",1.3551880368502712e-05
38,"('temporary', 'restraining')",1.3551880368502712e-05
39,"('order', 'allowing')",1.3551880368502712e-05
40,"('clinic', 'remain')",1.3551880368502712e-05
41,"('remain', 'open')",1.3551880368502712e-05
42,"('provided', 'abortion')",1.3551880368502712e-05
43,"('possible', 'light')",1.3551880368502712e-05
44,"('parenthood', 'louis')",1.3551880368502712e-05
45,"('were', 'abortions')",1.3551880368502712e-05
46,"('``', 'prochoice')",1.3551880368502712e-05
47,"('child', ""''"")",1.3551880368502712e-05
48,"('abortions', 'missouri')",1.3551880368502712e-05
49,"('``', 'unborn')",1.3551880368502712e-05
