,word,relevance_score
0,"('families', 'healthcare')",2.2097555300844514
1,"('abortion', 'clinics')",1.8251026298040813
2,"('clinics', 'state')",1.5410659852052004
3,"('flathead', 'valley')",1.0357199129996868
4,"('advanced', 'practice')",1.0357199129996868
5,"('perform', 'abortions')",1.0357199129996868
6,"('women', 'aged')",2.567738643216535e-05
7,"('have', 'abortion')",1.5640403288357556e-05
8,"('abortion', 'services')",1.5640403288357556e-05
9,"('rights', 'ibis')",1.2824695777930113e-05
10,"('center', 'reproductive')",1.2824695777930113e-05
11,"('viewpoint', '``')",1.2824695777930113e-05
12,"('ibis', 'reproductive')",1.2824695777930113e-05
13,"('alternative', 'viewpoint')",1.2824695777930113e-05
14,"('views', 'activities')",1.2824695777930113e-05
15,"('rates', 'infant')",1.2824695777930113e-05
16,"('aged', 'abortions')",1.2824695777930113e-05
17,"('other', 'menstrual')",1.2824695777930113e-05
18,"('prochoice', ""''"")",1.2824695777930113e-05
19,"('only', 'physicians')",1.2824695777930113e-05
20,"('physicians', 'could')",1.2824695777930113e-05
21,"('could', 'perform')",1.2824695777930113e-05
22,"('possible', 'light')",1.2824695777930113e-05
23,"('abortions', 'after')",1.2824695777930113e-05
24,"('nurse', 'practitioners')",1.2824695777930113e-05
25,"('certified', 'nurse')",1.2824695777930113e-05
26,"('nurse', 'midwives')",1.2824695777930113e-05
27,"('five', 'planned')",1.2824695777930113e-05
28,"('parenthood', 'clinics')",1.2824695777930113e-05
29,"('practice', 'nurses')",1.2824695777930113e-05
30,"('abortion', 'clinic')",1.2824695777930113e-05
31,"('number', 'abortion')",1.2824695777930113e-05
32,"('twenty', 'twelve')",1.2824695777930113e-05
33,"('child', ""''"")",1.2824695777930113e-05
34,"('``', 'unborn')",1.2824695777930113e-05
35,"('also', 'term')",1.2824695777930113e-05
36,"('clinics', 'there')",1.2824695777930113e-05
37,"('``', 'prochoice')",1.2824695777930113e-05
38,"('legal', 'abortions')",1.2824695777930113e-05
39,"('healthcare', 'clinic')",1.2824695777930113e-05
40,"('clinic', 'whitefish')",1.2824695777930113e-05
41,"('were', 'five')",8.450945349428893e-06
42,"('valley', 'were')",5.642114547103554e-06
43,"('which', 'seven')",5.642114547103554e-06
44,"('montana', 'legislature')",5.642114547103554e-06
45,"('wade', 'ruling')",5.642114547103554e-06
46,"('abortion', ""''"")",5.642114547103554e-06
47,"('elective', 'abortion')",5.642114547103554e-06
48,"(""''"", 'implies')",5.642114547103554e-06
49,"('ruling', 'meant')",2.826012277118987e-06
