,word,relevance_score
0,"('abortion', 'clinics')",1.8744130805835333
1,"('excommunicated', 'catholics')",1.1207641605962602
2,"('hayes', 'center')",1.1207641605962602
3,"('unborn', 'child')",1.1207641605962602
4,"('center', 'reproductive')",1.1207641605962602
5,"('clinics', 'state')",1.1207641605962602
6,"('abortion', ""''"")",0.5210210408859035
7,"('legal', 'abortions')",1.3176201356070832e-05
8,"('also', 'term')",1.3176201356070832e-05
9,"('views', 'activities')",1.3176201356070832e-05
10,"('``', 'unborn')",1.3176201356070832e-05
11,"('child', ""''"")",1.3176201356070832e-05
12,"('``', 'prochoice')",1.3176201356070832e-05
13,"('prochoice', ""''"")",1.3176201356070832e-05
14,"('abortion', 'clinic')",1.3176201356070832e-05
15,"('possible', 'light')",1.3176201356070832e-05
16,"('ruling', 'meant')",1.3176201356070832e-05
17,"('viewpoint', '``')",1.3176201356070832e-05
18,"('eight', 'nine')",1.3176201356070832e-05
19,"('rights', 'ibis')",1.3176201356070832e-05
20,"('ibis', 'reproductive')",1.3176201356070832e-05
21,"('carhart', 'before')",1.3176201356070832e-05
22,"('rates', 'infant')",1.3176201356070832e-05
23,"('meant', 'state')",1.3176201356070832e-05
24,"('informed', 'consent')",1.3176201356070832e-05
25,"('alternative', 'viewpoint')",1.3176201356070832e-05
26,"('number', 'abortion')",1.3176201356070832e-05
27,"('other', 'menstrual')",1.3176201356070832e-05
28,"('center', 'nebraska')",1.3176201356070832e-05
29,"('outlaw', 'abortion')",1.3176201356070832e-05
30,"('cities', 'unborn')",1.3176201356070832e-05
31,"('village', 'hayes')",1.3176201356070832e-05
32,"('menstrual', 'pads')",1.3176201356070832e-05
33,"('city', 'blue')",1.3176201356070832e-05
34,"('hill', 'nebraska')",1.3176201356070832e-05
35,"('blue', 'hill')",1.3176201356070832e-05
36,"('sanctuary', 'cities')",1.3176201356070832e-05
37,"('adults', 'said')",1.3176201356070832e-05
38,"('catholics', 'affiliated')",1.3176201356070832e-05
39,"('also', 'excommunicated')",1.3176201356070832e-05
40,"('local', 'ordinance')",1.3176201356070832e-05
41,"('pregnancy', ""''"")",1.3176201356070832e-05
42,"('abortion', 'should')",9.46138537939449e-06
43,"('abortion', 'services')",6.328942692917727e-06
44,"('elective', 'abortion')",6.328942692917727e-06
45,"(""''"", 'implies')",6.328942692917727e-06
46,"('notion', 'fetal')",3.1764266876763297e-06
47,"('regulation', 'abortion')",3.1764266876763297e-06
48,"('targeted', 'regulation')",3.1764266876763297e-06
49,"('after', 'weeks')",3.1764266876763297e-06
