,word,relevance_score
0,"('abortion', 'clinics')",1.6411158233293113
1,"('nevada', 'revised')",1.1860036589215994
2,"('revised', 'statutes')",1.1860036589215994
3,"('chapter', 'section')",1.1860036589215994
4,"('after', 'weeks')",1.1860036589215994
5,"('informed', 'consent')",1.1860036589215994
6,"('tell', 'women')",1.1860036589215994
7,"('abortion', ""''"")",1.6787050255820346e-05
8,"('menstrual', 'pads')",1.3421772904048469e-05
9,"('family', 'planning')",1.3421772904048469e-05
10,"('having', 'abortion')",1.3421772904048469e-05
11,"('number', 'abortion')",1.3421772904048469e-05
12,"('``', 'emotional')",1.3421772904048469e-05
13,"('legal', 'abortions')",1.3421772904048469e-05
14,"('prochoice', ""''"")",1.3421772904048469e-05
15,"('also', 'term')",1.3421772904048469e-05
16,"('life', 'mother')",1.3421772904048469e-05
17,"('rape', 'incest')",1.3421772904048469e-05
18,"('possible', 'light')",1.3421772904048469e-05
19,"('``', 'prochoice')",1.3421772904048469e-05
20,"('``', 'unborn')",1.3421772904048469e-05
21,"('child', ""''"")",1.3421772904048469e-05
22,"('funding', 'could')",1.3421772904048469e-05
23,"('abortion', 'clinic')",1.3421772904048469e-05
24,"('alternative', 'viewpoint')",1.3421772904048469e-05
25,"('views', 'activities')",1.3421772904048469e-05
26,"('other', 'menstrual')",1.3421772904048469e-05
27,"('abortions', 'after')",1.3421772904048469e-05
28,"('rates', 'infant')",1.3421772904048469e-05
29,"('ibis', 'reproductive')",1.3421772904048469e-05
30,"('rights', 'ibis')",1.3421772904048469e-05
31,"('statutes', 'chapter')",1.3421772904048469e-05
32,"('legal', 'while')",1.3421772904048469e-05
33,"('adults', 'said')",1.3421772904048469e-05
34,"('poll', 'research')",1.3421772904048469e-05
35,"('center', 'reproductive')",1.3421772904048469e-05
36,"('viewpoint', '``')",1.3421772904048469e-05
37,"('emotional', 'implications')",1.3421772904048469e-05
38,"('said', 'poll')",1.3421772904048469e-05
39,"('fetus', ""''"")",1.3421772904048469e-05
40,"('women', '``')",6.787182229335855e-06
41,"(""''"", 'implies')",6.787182229335855e-06
42,"('woman', 'right')",6.787182229335855e-06
43,"('wade', 'ruling')",6.787182229335855e-06
44,"('implications', ""''"")",6.787182229335855e-06
45,"('abortion', 'services')",6.787182229335855e-06
46,"('elective', 'abortion')",6.787182229335855e-06
47,"('reproductive', 'health')",3.7457397912700303e-06
48,"('women', 'state')",3.7457397912700303e-06
49,"('women', 'getting')",3.4218378723394037e-06
