,word,relevance_score
0,"('abortion', 'clinics')",1.8936400042440489
1,"('parental', 'notification')",1.706058435427313
2,"('clinics', 'state')",1.6136316042040764
3,"('abortion', 'clinic')",1.1507904450772073
4,"('feminist', 'health')",1.1507904450772073
5,"('abortions', 'state')",1.1507904450772073
6,"('parenthood', 'northern')",1.1507904450772073
7,"('number', 'abortion')",1.1507904450772073
8,"('abortion', 'services')",0.5465841892387346
9,"('health', 'center')",2.9409645793909616e-05
10,"('with', 'abortion')",1.3209258276929454e-05
11,"('child', ""''"")",1.3209258276929454e-05
12,"('``', 'prochoice')",1.3209258276929454e-05
13,"('prochoice', ""''"")",1.3209258276929454e-05
14,"('possible', 'light')",1.3209258276929454e-05
15,"('alternative', 'viewpoint')",1.3209258276929454e-05
16,"('viewpoint', '``')",1.3209258276929454e-05
17,"('center', 'reproductive')",1.3209258276929454e-05
18,"('rights', 'ibis')",1.3209258276929454e-05
19,"('views', 'activities')",1.3209258276929454e-05
20,"('state', 'medicaid')",1.3209258276929454e-05
21,"('rates', 'infant')",1.3209258276929454e-05
22,"('pregnancy', 'result')",1.3209258276929454e-05
23,"('``', 'unborn')",1.3209258276929454e-05
24,"('hampshire', 'parental')",1.3209258276929454e-05
25,"('parenthood', 'clinics')",1.3209258276929454e-05
26,"('five', 'planned')",1.3209258276929454e-05
27,"('notification', 'unconstitutional')",1.3209258276929454e-05
28,"('ibis', 'reproductive')",1.3209258276929454e-05
29,"('also', 'term')",1.3209258276929454e-05
30,"('heed', 'appealed')",1.3209258276929454e-05
31,"('state', 'three')",1.3209258276929454e-05
32,"('funded', 'abortions')",1.3209258276929454e-05
33,"('three', 'publicly')",1.3209258276929454e-05
34,"('passed', 'parental')",1.3209258276929454e-05
35,"('eighteen', 'sixteen')",1.3209258276929454e-05
36,"('ayotte', 'planned')",1.3209258276929454e-05
37,"('elective', 'abortion')",6.463575735457947e-06
38,"('period', 'between')",6.463575735457947e-06
39,"('john', 'lynch')",6.463575735457947e-06
40,"('governor', 'john')",6.463575735457947e-06
41,"('abortions', 'performed')",6.463575735457947e-06
42,"('pregnant', 'women')",6.463575735457947e-06
43,"('wade', 'ruling')",6.463575735457947e-06
44,"('abortion', 'restrictions')",6.463575735457947e-06
45,"(""''"", 'implies')",6.463575735457947e-06
46,"('publicly', 'funded')",6.463575735457947e-06
47,"('abortion', ""''"")",6.463575735457947e-06
48,"('enforcement', 'once')",3.209325829314046e-06
49,"('center', 'feminist')",3.209325829314046e-06
