,word,relevance_score
0,"('abortion', 'clinics')",2.1449892115550937
1,"('clinics', 'state')",1.6558186865112416
2,"('parental', 'consent')",1.4060093557484001
3,"('without', 'parental')",1.2046610459711309
4,"('governor', 'phil')",1.2046610459711309
5,"('steven', 'brigham')",1.2046610459711309
6,"('abortion', 'clinic')",1.2046610459711309
7,"('medical', 'license')",1.2046610459711309
8,"('abortions', 'which')",1.2046610459711309
9,"('women', 'aged')",1.1604026626183066
10,"('woman', 'right')",1.6986721782974616e-05
11,"('phil', 'murphy')",1.6986721782974616e-05
12,"('funded', 'abortions')",1.349337865673375e-05
13,"('like', 'alabama')",1.349337865673375e-05
14,"('march', 'jersey')",1.349337865673375e-05
15,"('other', 'menstrual')",1.349337865673375e-05
16,"('legal', 'abortions')",1.349337865673375e-05
17,"('obtain', 'abortion')",1.349337865673375e-05
18,"('rates', 'infant')",1.349337865673375e-05
19,"('ibis', 'reproductive')",1.349337865673375e-05
20,"('rights', 'ibis')",1.349337865673375e-05
21,"('menstrual', 'pads')",1.349337865673375e-05
22,"('number', 'abortion')",1.349337865673375e-05
23,"('parenthood', 'clinics')",1.349337865673375e-05
24,"('were', 'facilities')",1.349337865673375e-05
25,"('provided', 'abortions')",1.349337865673375e-05
26,"('were', 'abortion')",1.349337865673375e-05
27,"('were', 'planned')",1.349337865673375e-05
28,"('center', 'reproductive')",1.349337865673375e-05
29,"('license', 'revoked')",1.349337865673375e-05
30,"('aged', 'abortions')",1.349337865673375e-05
31,"('rights', 'views')",1.349337865673375e-05
32,"('views', 'activities')",1.349337865673375e-05
33,"('services', 'without')",1.349337865673375e-05
34,"('state', 'abortion')",1.349337865673375e-05
35,"('viewpoint', '``')",1.349337865673375e-05
36,"('monmouth', 'memorial')",1.349337865673375e-05
37,"('``', 'prochoice')",1.349337865673375e-05
38,"('possible', 'light')",1.349337865673375e-05
39,"('abortion', 'jersey')",1.349337865673375e-05
40,"('alternative', 'viewpoint')",1.349337865673375e-05
41,"('child', ""''"")",1.349337865673375e-05
42,"('``', 'unborn')",1.349337865673375e-05
43,"('prochoice', ""''"")",1.349337865673375e-05
44,"('unborn', 'child')",1.349337865673375e-05
45,"('also', 'term')",1.349337865673375e-05
46,"('alabama', 'georgia')",6.986851912975591e-06
47,"('elective', 'abortion')",6.986851912975591e-06
48,"(""''"", 'implies')",6.986851912975591e-06
49,"('abortion', ""''"")",6.986851912975591e-06
