,word,relevance_score
0,"('clinics', 'state')",1.6809410014464723
1,"('abortion', 'clinics')",1.238906339970191
2,"('abortion', 'clinic')",1.238906339970191
3,"('women', 'aged')",0.7253556275845734
4,"('possible', 'light')",1.3632632051711836e-05
5,"('viewpoint', '``')",1.3632632051711836e-05
6,"('center', 'reproductive')",1.3632632051711836e-05
7,"('rights', 'ibis')",1.3632632051711836e-05
8,"('ibis', 'reproductive')",1.3632632051711836e-05
9,"('rates', 'infant')",1.3632632051711836e-05
10,"('views', 'activities')",1.3632632051711836e-05
11,"('menstrual', 'pads')",1.3632632051711836e-05
12,"('alternative', 'viewpoint')",1.3632632051711836e-05
13,"('other', 'menstrual')",1.3632632051711836e-05
14,"('mexico', 'abortion')",1.3632632051711836e-05
15,"('repeal', 'bill')",1.3632632051711836e-05
16,"('parenthood', 'clinics')",1.3632632051711836e-05
17,"('aged', 'abortions')",1.3632632051711836e-05
18,"('prochoice', ""''"")",1.3632632051711836e-05
19,"('abortions', 'which')",1.3632632051711836e-05
20,"('also', 'term')",1.3632632051711836e-05
21,"('legal', 'abortions')",1.3632632051711836e-05
22,"('access', 'abortion')",1.3632632051711836e-05
23,"('``', 'prochoice')",1.3632632051711836e-05
24,"('child', ""''"")",1.3632632051711836e-05
25,"('``', 'unborn')",1.3632632051711836e-05
26,"('number', 'abortion')",1.3632632051711836e-05
27,"('party', 'mexico')",7.274943979071503e-06
28,"('abortion', ""''"")",7.274943979071503e-06
29,"('abortion', 'restrictions')",7.274943979071503e-06
30,"('elective', 'abortion')",7.274943979071503e-06
31,"(""''"", 'implies')",7.274943979071503e-06
32,"('woman', 'right')",7.274943979071503e-06
33,"('abortion', 'services')",7.274943979071503e-06
34,"('alaska', 'maryland')",3.6326956781098434e-06
35,"('march', 'bill')",3.6326956781098434e-06
36,"('jersey', 'allowed')",3.6326956781098434e-06
37,"('allowed', 'qualified')",3.6326956781098434e-06
38,"('qualified', 'nonphysicians')",3.6326956781098434e-06
39,"('illinois', 'alaska')",3.6326956781098434e-06
40,"('faced', 'opposition')",3.6326956781098434e-06
41,"('state', 'republicansin')",3.6326956781098434e-06
42,"('senate', 'signed')",3.6326956781098434e-06
43,"('republicansin', 'washington')",3.6326956781098434e-06
44,"('mexico', 'illinois')",3.6326956781098434e-06
45,"('bill', 'faced')",3.6326956781098434e-06
46,"('early', 'arkansas')",3.6326956781098434e-06
47,"('have', 'repealed')",3.6326956781098434e-06
48,"('vote', 'february')",3.6326956781098434e-06
49,"('barred', 'states')",3.6326956781098434e-06
