,word,relevance_score
0,"('abortion', 'clinics')",2.3424880582902707
1,"('illegal', 'abortion')",2.197547789271537
2,"('abortion', 'clinic')",2.197547789271537
3,"('pregnancy', 'york')",1.5287080018069088
4,"('number', 'abortion')",1.5287080018069088
5,"('illegal', 'abortions')",1.5287080018069088
6,"('induced', 'abortions')",1.5287080018069088
7,"('women', 'aged')",1.018711210420479
8,"('guttmacher', 'institute')",1.0171693776597395
9,"('live', 'births')",1.0171693776597395
10,"('city', 'highest')",1.0171693776597395
11,"('clinic', 'york')",1.0171693776597395
12,"('texas', 'third')",1.0171693776597395
13,"('with', 'while')",1.0171693776597395
14,"('abortion', 'deaths')",1.0171693776597395
15,"('york', 'passed')",1.0171693776597395
16,"('were', 'abortions')",1.0171693776597395
17,"('week', 'pregnancy')",1.0171693776597395
18,"('while', 'york')",1.541724626423625e-05
19,"('abortions', 'women')",1.541724626423625e-05
20,"('abortion', 'services')",1.541724626423625e-05
21,"('tried', 'failed')",1.541724626423625e-05
22,"('florida', 'second')",1.541724626423625e-05
23,"('hospital', 'york')",1.2686786690764622e-05
24,"('hospital', 'review')",1.2686786690764622e-05
25,"('mount', 'sinai')",1.2686786690764622e-05
26,"('harlem', 'hospital')",1.2686786690764622e-05
27,"('weeks', 'pregnancy')",1.2686786690764622e-05
28,"('abortions', 'abortions')",1.2686786690764622e-05
29,"('performing', 'abortion')",1.2686786690764622e-05
30,"('susannah', 'lattin')",1.2686786690764622e-05
31,"('clinic', 'buffalo')",1.2686786690764622e-05
32,"('legal', 'abortions')",1.2686786690764622e-05
33,"('abortion', 'york')",1.2686786690764622e-05
34,"('pregnant', 'woman')",1.2686786690764622e-05
35,"('nationwide', 'that')",1.2686786690764622e-05
36,"('preserve', 'life')",1.2686786690764622e-05
37,"('states', 'nationwide')",1.2686786690764622e-05
38,"('abortion', 'united')",1.2686786690764622e-05
39,"('that', 'tried')",1.2686786690764622e-05
40,"('york', 'period')",1.2686786690764622e-05
41,"('pass', 'fetal')",1.2686786690764622e-05
42,"('fetal', 'heartbeat')",1.2686786690764622e-05
43,"('heartbeat', 'bill')",1.2686786690764622e-05
44,"('abortions', 'after')",1.2686786690764622e-05
45,"('clinics', 'state')",1.2686786690764622e-05
46,"('fixed', 'buffer')",1.2686786690764622e-05
47,"('western', 'york')",1.2686786690764622e-05
48,"('pregnancy', 'preserve')",1.2686786690764622e-05
49,"('york', 'their')",1.2686786690764622e-05
