,word,relevance_score
0,"('abortion', 'clinics')",2.392228469427298
1,"('abortion', 'care')",2.392228469427298
2,"('abortion', 'clinic')",2.392228469427298
3,"('facilities', 'providing')",1.5806592311667726
4,"('center', 'reproductive')",1.5806592311667726
5,"('providing', 'abortion')",1.5806592311667726
6,"('after', 'weeks')",1.1031604859773183
7,"('william', 'osteen')",1.1031604859773183
8,"('abortion', 'prohibited')",1.1031604859773183
9,"('abortions', 'north')",1.1031604859773183
10,"('women', 'aged')",1.0775544874522989
11,"('abortions', 'performed')",2.6155298439414226e-05
12,"('judge', 'william')",1.6156299041618442e-05
13,"('woman', 'right')",1.6156299041618442e-05
14,"('induced', 'abortions')",1.3082296151636007e-05
15,"('were', 'freestanding')",1.3082296151636007e-05
16,"('regulation', 'abortion')",1.3082296151636007e-05
17,"('declined', 'over')",1.3082296151636007e-05
18,"('their', 'abortion')",1.3082296151636007e-05
19,"('freestanding', 'abortion')",1.3082296151636007e-05
20,"('abortionproviding', 'facilities')",1.3082296151636007e-05
21,"('week', 'abortion')",1.3082296151636007e-05
22,"('mother', 'only')",1.3082296151636007e-05
23,"('outofstate', 'residents')",1.3082296151636007e-05
24,"('abortions', 'state')",1.3082296151636007e-05
25,"('ibis', 'reproductive')",1.3082296151636007e-05
26,"('youknowme', 'movement')",1.3082296151636007e-05
27,"('stopthebans', 'movement')",1.3082296151636007e-05
28,"('life', 'mother')",1.3082296151636007e-05
29,"('rights', 'ibis')",1.3082296151636007e-05
30,"('also', 'term')",1.3082296151636007e-05
31,"('viewpoint', '``')",1.3082296151636007e-05
32,"('``', 'unborn')",1.3082296151636007e-05
33,"('child', ""''"")",1.3082296151636007e-05
34,"('alternative', 'viewpoint')",1.3082296151636007e-05
35,"('``', 'prochoice')",1.3082296151636007e-05
36,"('rates', 'infant')",1.3082296151636007e-05
37,"('down', 'north')",1.3082296151636007e-05
38,"('possible', 'light')",1.3082296151636007e-05
39,"('osteen', 'formally')",1.3082296151636007e-05
40,"('state', 'participated')",1.3082296151636007e-05
41,"('views', 'activities')",1.3082296151636007e-05
42,"('aged', 'abortions')",1.3082296151636007e-05
43,"('healthcare', 'facility')",1.3082296151636007e-05
44,"('licensed', 'hospital')",1.3082296151636007e-05
45,"('medication', 'abortion')",1.3082296151636007e-05
46,"('statedirected', 'counseling')",1.3082296151636007e-05
47,"('care', 'north')",1.3082296151636007e-05
48,"('formally', 'struck')",1.3082296151636007e-05
49,"('abortions', 'which')",1.3082296151636007e-05
