,word,relevance_score
0,"('abortion', 'clinic')",2.2791777311030295
1,"('only', 'abortion')",1.6154962521690113
2,"('jane', 'bovard')",1.6154962521690113
3,"('forks', 'jamestown')",1.1530763598312535
4,"('induced', 'abortions')",1.1530763598312535
5,"('dakota', 'third')",1.1530763598312535
6,"('grand', 'forks')",1.1530763598312535
7,"('center', 'reproductive')",1.1530763598312535
8,"('abortion', 'clinics')",1.1530763598312535
9,"('with', 'while')",1.1530763598312535
10,"('informed', 'consent')",1.1530763598312535
11,"('clinic', 'north')",1.1530763598312535
12,"('women', 'health')",3.3149031353050646e-05
13,"('abortions', 'state')",1.3287811759991342e-05
14,"('dakota', 'signed')",1.3287811759991342e-05
15,"('jack', 'dalrymple')",1.3287811759991342e-05
16,"('other', 'menstrual')",1.3287811759991342e-05
17,"('weeks', 'fetus')",1.3287811759991342e-05
18,"('period', 'this')",1.3287811759991342e-05
19,"('menstrual', 'pads')",1.3287811759991342e-05
20,"('access', 'abortion')",1.3287811759991342e-05
21,"('ibis', 'reproductive')",1.3287811759991342e-05
22,"('rights', 'ibis')",1.3287811759991342e-05
23,"('viewpoint', '``')",1.3287811759991342e-05
24,"('march', 'jack')",1.3287811759991342e-05
25,"('clinic', 'fargo')",1.3287811759991342e-05
26,"('doctors', 'grand')",1.3287811759991342e-05
27,"('clinic', 'state')",1.3287811759991342e-05
28,"('river', 'clinic')",1.3287811759991342e-05
29,"('alternative', 'viewpoint')",1.3287811759991342e-05
30,"('clinic', 'that')",1.3287811759991342e-05
31,"('parenthood', 'clinic')",1.3287811759991342e-05
32,"('legal', 'induced')",1.3287811759991342e-05
33,"('dakota', 'second')",1.3287811759991342e-05
34,"('with', 'idaho')",1.3287811759991342e-05
35,"('abortions', 'with')",1.3287811759991342e-05
36,"('rights', 'views')",1.3287811759991342e-05
37,"('views', 'activities')",1.3287811759991342e-05
38,"('antiabortion', 'rights')",1.3287811759991342e-05
39,"('bovard', 'many')",1.3287811759991342e-05
40,"('clinics', 'state')",1.3287811759991342e-05
41,"('possible', 'light')",1.3287811759991342e-05
42,"('rates', 'infant')",1.3287811759991342e-05
43,"('prochoice', ""''"")",1.3287811759991342e-05
44,"('``', 'prochoice')",1.3287811759991342e-05
45,"('also', 'term')",1.3287811759991342e-05
46,"('child', ""''"")",1.3287811759991342e-05
47,"('``', 'unborn')",1.3287811759991342e-05
48,"(""''"", 'implies')",6.57541106152095e-06
49,"('number', 'legal')",6.57541106152095e-06
