,word,relevance_score
0,"('child', ""''"")",1.3670330051568983e-05
1,"('alternative', 'viewpoint')",1.3670330051568983e-05
2,"('rape', 'incest')",1.3670330051568983e-05
3,"('general', 'said')",1.3670330051568983e-05
4,"('also', 'term')",1.3670330051568983e-05
5,"('``', 'unborn')",1.3670330051568983e-05
6,"('unborn', 'child')",1.3670330051568983e-05
7,"('viewpoint', '``')",1.3670330051568983e-05
8,"('result', 'rape')",1.3670330051568983e-05
9,"('``', 'prochoice')",1.3670330051568983e-05
10,"('prochoice', ""''"")",1.3670330051568983e-05
11,"('possible', 'light')",1.3670330051568983e-05
12,"(""''"", 'implies')",7.339554790102625e-06
13,"('abortion', ""''"")",7.339554790102625e-06
14,"('elective', 'abortion')",7.339554790102625e-06
15,"('local', 'commonwealth')",7.339554790102625e-06
16,"('territory', 'illegal')",3.670393357786498e-06
17,"('miscarriage', 'premature')",3.670393357786498e-06
18,"('premature', 'delivery')",3.670393357786498e-06
19,"('cause', 'miscarriage')",3.670393357786498e-06
20,"('unlawfully', 'cause')",3.670393357786498e-06
21,"('statesevery', 'person')",3.670393357786498e-06
22,"('remains', 'illegal')",3.670393357786498e-06
23,"('delivery', 'woman')",3.670393357786498e-06
24,"('which', 'statesevery')",3.670393357786498e-06
25,"('illegal', 'which')",3.670393357786498e-06
26,"('mostly', 'medicaid')",3.670393357786498e-06
27,"('illegal', 'circumstances')",3.670393357786498e-06
28,"('shall', 'unlawfully')",3.670393357786498e-06
29,"('abortion', 'remains')",3.670393357786498e-06
30,"('conviction', 'thereof')",3.670393357786498e-06
31,"('intent', 'shall')",3.670393357786498e-06
32,"('shall', 'guilty')",3.670393357786498e-06
33,"('guilty', 'abortion')",3.670393357786498e-06
34,"('abortion', 'upon')",3.670393357786498e-06
35,"('circumstances', 'commonwealth')",3.670393357786498e-06
36,"('thereof', 'shall')",3.670393357786498e-06
37,"('shall', 'imprisoned')",3.670393357786498e-06
38,"('imprisoned', 'period')",3.670393357786498e-06
39,"('legal', 'allowances')",3.670393357786498e-06
40,"('carves', 'legal')",3.670393357786498e-06
41,"('government', 'carves')",3.670393357786498e-06
42,"('years', 'code')",3.670393357786498e-06
43,"('this', 'reaffirmed')",3.670393357786498e-06
44,"('allowances', 'abortion')",3.670393357786498e-06
45,"('abortion', 'commonwealth')",3.670393357786498e-06
46,"('marianas', 'women')",3.670393357786498e-06
47,"('hawaii', 'japan')",3.670393357786498e-06
48,"(""''"", 'associated')",3.670393357786498e-06
49,"('upon', 'herself')",3.670393357786498e-06
