,word,relevance_score
0,"('abortion', 'clinics')",1.9145451865572356
1,"('heartbeat', 'bill')",1.6351091312968322
2,"('fetal', 'heartbeat')",1.6351091312968322
3,"('number', 'abortion')",1.1785282074680037
4,"('stitt', 'signed')",1.1785282074680037
5,"('governor', 'kevin')",1.1785282074680037
6,"('after', 'weeks')",1.1785282074680037
7,"('informed', 'consent')",1.1785282074680037
8,"('pass', 'fetal')",1.1785282074680037
9,"('clinics', 'state')",1.1785282074680037
10,"('center', 'reproductive')",1.1785282074680037
11,"('women', 'aged')",1.1379359482185316
12,"('abortion', 'providers')",1.1379359482185316
13,"('kevin', 'stitt')",1.6845041755450513e-05
14,"('abortion', 'services')",1.6845041755450513e-05
15,"('tried', 'failed')",1.6845041755450513e-05
16,"('other', 'menstrual')",1.3422564090396002e-05
17,"('fetus', 'feel')",1.3422564090396002e-05
18,"('feel', 'pain')",1.3422564090396002e-05
19,"('abortions', 'after')",1.3422564090396002e-05
20,"('most', 'restrictive')",1.3422564090396002e-05
21,"('menstrual', 'pads')",1.3422564090396002e-05
22,"('that', 'tried')",1.3422564090396002e-05
23,"('state', 'health')",1.3422564090396002e-05
24,"('rates', 'infant')",1.3422564090396002e-05
25,"('ibis', 'reproductive')",1.3422564090396002e-05
26,"('rights', 'ibis')",1.3422564090396002e-05
27,"('alternative', 'viewpoint')",1.3422564090396002e-05
28,"('possible', 'light')",1.3422564090396002e-05
29,"('period', 'this')",1.3422564090396002e-05
30,"('consent', 'materials')",1.3422564090396002e-05
31,"('that', 'fetus')",1.3422564090396002e-05
32,"('that', 'pain')",1.3422564090396002e-05
33,"('pain', 'sensors')",1.3422564090396002e-05
34,"('sensors', 'develop')",1.3422564090396002e-05
35,"('prochoice', ""''"")",1.3422564090396002e-05
36,"('develop', 'fetus')",1.3422564090396002e-05
37,"('fetus', 'until')",1.3422564090396002e-05
38,"('between', 'weeks')",1.3422564090396002e-05
39,"('receiving', 'abortion')",1.3422564090396002e-05
40,"('governor', 'mary')",1.3422564090396002e-05
41,"('mary', 'fallin')",1.3422564090396002e-05
42,"('banned', 'abortion')",1.3422564090396002e-05
43,"('abortion', 'clinic')",1.3422564090396002e-05
44,"('illegal', 'abortion')",1.3422564090396002e-05
45,"('aged', 'abortions')",1.3422564090396002e-05
46,"('american', 'medical')",1.3422564090396002e-05
47,"('``', 'prochoice')",1.3422564090396002e-05
48,"('viewpoint', '``')",1.3422564090396002e-05
49,"('offering', 'services')",1.3422564090396002e-05
