,word,relevance_score
0,"('abortion', 'clinics')",1.659456413846521
1,"('abortion', 'clinic')",1.2102533327210003
2,"('women', 'aged')",0.6578335770268355
3,"('county', 'without')",1.3507796066450397e-05
4,"('possible', 'light')",1.3507796066450397e-05
5,"('lived', 'county')",1.3507796066450397e-05
6,"('alternative', 'viewpoint')",1.3507796066450397e-05
7,"('viewpoint', '``')",1.3507796066450397e-05
8,"('center', 'reproductive')",1.3507796066450397e-05
9,"('rights', 'ibis')",1.3507796066450397e-05
10,"('ibis', 'reproductive')",1.3507796066450397e-05
11,"('other', 'menstrual')",1.3507796066450397e-05
12,"('prochoice', ""''"")",1.3507796066450397e-05
13,"('views', 'activities')",1.3507796066450397e-05
14,"('abortion', 'state')",1.3507796066450397e-05
15,"('aged', 'abortions')",1.3507796066450397e-05
16,"('clinics', 'state')",1.3507796066450397e-05
17,"('state', 'aged')",1.3507796066450397e-05
18,"('aged', 'lived')",1.3507796066450397e-05
19,"('rates', 'infant')",1.3507796066450397e-05
20,"('``', 'prochoice')",1.3507796066450397e-05
21,"('without', 'abortion')",1.3507796066450397e-05
22,"('child', ""''"")",1.3507796066450397e-05
23,"('``', 'unborn')",1.3507796066450397e-05
24,"('also', 'term')",1.3507796066450397e-05
25,"('abortion', 'oregon')",1.3507796066450397e-05
26,"('access', 'abortion')",1.3507796066450397e-05
27,"('number', 'abortion')",1.3507796066450397e-05
28,"('legal', 'abortions')",1.3507796066450397e-05
29,"('sixty', 'forty')",1.3507796066450397e-05
30,"('clinics', 'oregon')",1.3507796066450397e-05
31,"('year', 'women')",7.031113212341749e-06
32,"('have', 'abortion')",7.031113212341749e-06
33,"('period', 'between')",7.031113212341749e-06
34,"('abortion', 'services')",7.031113212341749e-06
35,"('elective', 'abortion')",7.031113212341749e-06
36,"('abortion', ""''"")",7.031113212341749e-06
37,"(""''"", 'implies')",7.031113212341749e-06
38,"('women', 'state')",4.124017623355863e-06
39,"('reproductive', 'health')",4.124017623355863e-06
40,"('mental', 'defect')",3.5078609105395136e-06
41,"('from', 'rape')",3.5078609105395136e-06
42,"('grave', 'physical')",3.5078609105395136e-06
43,"('with', 'grave')",3.5078609105395136e-06
44,"('defect', 'that')",3.5078609105395136e-06
45,"('pregnancy', 'resulted')",3.5078609105395136e-06
46,"('rape', 'incest')",3.5078609105395136e-06
47,"('felonious', 'intercourse')",3.5078609105395136e-06
48,"('born', 'with')",3.5078609105395136e-06
49,"('incest', 'other')",3.5078609105395136e-06
