,word,relevance_score
0,"('undue', 'burden')",2.5049553220619334
1,"('substantial', 'obstacle')",1.8470534916603178
2,"('abortion', 'clinics')",1.5641104176428808
3,"('center', 'reproductive')",1.5641104176428808
4,"('fetus', 'viability')",1.5641104176428808
5,"('state', 'interest')",1.0794377888815803
6,"('trimester', 'framework')",1.0794377888815803
7,"('informed', 'consent')",1.0794377888815803
8,"('clinics', 'state')",1.0794377888815803
9,"('number', 'abortion')",1.0794377888815803
10,"('path', 'woman')",1.0794377888815803
11,"('obstacle', 'path')",1.0794377888815803
12,"('plurality', 'opinion')",2.581374135023737e-05
13,"('reproductive', 'health')",2.1876813602037896e-05
14,"('abortion', 'restrictions')",1.5971742948939518e-05
15,"('when', 'fetus')",1.299566085928795e-05
16,"('woman', 'health')",1.299566085928795e-05
17,"('life', 'health')",1.299566085928795e-05
18,"('essential', 'holding')",1.299566085928795e-05
19,"('health', 'mother')",1.299566085928795e-05
20,"('that', 'fetus')",1.299566085928795e-05
21,"('authors', 'plurality')",1.299566085928795e-05
22,"('husband', 'notification')",1.299566085928795e-05
23,"('early', 'abortion')",1.299566085928795e-05
24,"('regulate', 'abortion')",1.299566085928795e-05
25,"('abortion', 'clinic')",1.299566085928795e-05
26,"('other', 'menstrual')",1.299566085928795e-05
27,"('menstrual', 'pads')",1.299566085928795e-05
28,"('protect', 'woman')",1.299566085928795e-05
29,"('that', 'tried')",1.299566085928795e-05
30,"('viability', 'framework')",1.299566085928795e-05
31,"('framework', 'plurality')",1.299566085928795e-05
32,"('purpose', 'effect')",1.299566085928795e-05
33,"('woman', 'fundamental')",1.299566085928795e-05
34,"('views', 'activities')",1.299566085928795e-05
35,"('parenthood', 'clinics')",1.299566085928795e-05
36,"('were', 'planned')",1.299566085928795e-05
37,"('notice', 'requirement')",1.299566085928795e-05
38,"('spousal', 'notice')",1.299566085928795e-05
39,"('burden', 'standard')",1.299566085928795e-05
40,"('seeking', 'abortion')",1.299566085928795e-05
41,"('plurality', 'held')",1.299566085928795e-05
42,"('woman', 'seeking')",1.299566085928795e-05
43,"('effect', 'placing')",1.299566085928795e-05
44,"('rates', 'infant')",1.299566085928795e-05
45,"('akron', 'akron')",1.299566085928795e-05
46,"('city', 'akron')",1.299566085928795e-05
47,"('potential', 'life')",1.299566085928795e-05
48,"('interest', 'potential')",1.299566085928795e-05
49,"('abortion', 'plurality')",1.299566085928795e-05
