,word,relevance_score
0,"('legal', 'abortions')",1.8807196109621882
1,"('women', 'puerto')",1.8807196109621882
2,"('abortion', 'clinics')",1.5993891515496164
3,"('access', 'abortion')",1.5993891515496164
4,"('consent', 'before')",1.1275549889677872
5,"('abortions', 'puerto')",1.1275549889677872
6,"('obtain', 'abortions')",1.1275549889677872
7,"('effectively', 'became')",1.1275549889677872
8,"('abortion', 'services')",1.0984799272138086
9,"('first', 'trimester')",2.6647595441524003e-05
10,"('prior', 'wade')",1.638555096339183e-05
11,"('second', 'trimester')",1.638555096339183e-05
12,"('parental', 'consent')",1.638555096339183e-05
13,"('international', 'women')",1.3195987563921393e-05
14,"('being', 'allowed')",1.3195987563921393e-05
15,"('around', 'women')",1.3195987563921393e-05
16,"('women', 'taking')",1.3195987563921393e-05
17,"('over', 'dozen')",1.3195987563921393e-05
18,"('taking', 'streets')",1.3195987563921393e-05
19,"('streets', 'masse')",1.3195987563921393e-05
20,"('clinics', 'island')",1.3195987563921393e-05
21,"('masse', 'support')",1.3195987563921393e-05
22,"('number', 'abortion')",1.3195987563921393e-05
23,"('rico', 'revolved')",1.3195987563921393e-05
24,"('getting', 'abortion')",1.3195987563921393e-05
25,"('there', 'move')",1.3195987563921393e-05
26,"('legislature', 'puerto')",1.3195987563921393e-05
27,"('brown', 'said')",1.3195987563921393e-05
28,"('center', 'reproductive')",1.3195987563921393e-05
29,"('rights', 'ibis')",1.3195987563921393e-05
30,"('ibis', 'reproductive')",1.3195987563921393e-05
31,"('antiabortion', 'activities')",1.3195987563921393e-05
32,"('abortion', 'there')",1.3195987563921393e-05
33,"('this', 'abortion')",1.3195987563921393e-05
34,"('informed', 'consent')",1.3195987563921393e-05
35,"('women', 'ability')",1.3195987563921393e-05
36,"('move', 'legislature')",1.3195987563921393e-05
37,"('rico', 'make')",1.3195987563921393e-05
38,"('trimester', 'abortions')",1.3195987563921393e-05
39,"('abortions', 'with')",1.3195987563921393e-05
40,"('prenatal', 'care')",1.3195987563921393e-05
41,"('women', 'under')",1.3195987563921393e-05
42,"('trimester', 'abortion')",1.3195987563921393e-05
43,"('pablo', 'duarte')",1.3195987563921393e-05
44,"('having', 'abortion')",1.3195987563921393e-05
45,"('rico', 'there')",1.3195987563921393e-05
46,"('rico', 'penal')",1.3195987563921393e-05
47,"('duarte', 'mendoza')",1.3195987563921393e-05
48,"('fetal', 'defects')",1.3195987563921393e-05
49,"('abortion', 'puerto')",1.3195987563921393e-05
