,word,relevance_score
0,"('reproductive', 'privacy')",1.3121961467148093
1,"('abortion', 'codified')",1.389623927036129e-05
2,"('abortions', 'state')",1.389623927036129e-05
3,"('island', 'senate')",1.389623927036129e-05
4,"('abortion', 'clinic')",1.389623927036129e-05
5,"('clinics', 'state')",1.389623927036129e-05
6,"('abortion', 'clinics')",1.389623927036129e-05
7,"('right', 'abortion')",7.712773605370173e-06
8,"('abortion', 'providers')",7.712773605370173e-06
9,"('have', 'abortion')",7.712773605370173e-06
10,"('prohibits', 'general')",3.896382821918575e-06
11,"('legal', 'with')",3.896382821918575e-06
12,"('which', 'abortion')",3.896382821918575e-06
13,"('minimal', 'period')",3.896382821918575e-06
14,"('established', 'minimal')",3.896382821918575e-06
15,"('framework', 'state')",3.896382821918575e-06
16,"('legislation', 'subject')",3.896382821918575e-06
17,"('more', 'fewer')",3.896382821918575e-06
18,"('uniform', 'framework')",3.896382821918575e-06
19,"('imposed', 'uniform')",3.896382821918575e-06
20,"('decision', 'imposed')",3.896382821918575e-06
21,"('legal', 'several')",3.896382821918575e-06
22,"('subject', 'established')",3.896382821918575e-06
23,"('restrictions', 'throughout')",3.896382821918575e-06
24,"('modified', 'planned')",3.896382821918575e-06
25,"('pregnancy', 'that')",3.896382821918575e-06
26,"('that', 'basic')",3.896382821918575e-06
27,"('framework', 'modified')",3.896382821918575e-06
28,"('abortion', 'already')",3.896382821918575e-06
29,"('casey', 'remains')",3.896382821918575e-06
30,"('remains', 'nominally')",3.896382821918575e-06
31,"('nominally', 'place')",3.896382821918575e-06
32,"('place', 'although')",3.896382821918575e-06
33,"('although', 'effective')",3.896382821918575e-06
34,"('effective', 'availability')",3.896382821918575e-06
35,"('availability', 'abortion')",3.896382821918575e-06
36,"('abortion', 'varies')",3.896382821918575e-06
37,"('throughout', 'pregnancy')",3.896382821918575e-06
38,"('nationwide', 'abortion')",3.896382821918575e-06
39,"('thereof', 'motion')",3.896382821918575e-06
40,"('decriminalized', 'abortion')",3.896382821918575e-06
41,"('voted', 'governor')",3.896382821918575e-06
42,"('governor', 'raimondo')",3.896382821918575e-06
43,"('raimondo', 'signed')",3.896382821918575e-06
44,"('legislation', 'same')",3.896382821918575e-06
45,"('august', 'motion')",3.896382821918575e-06
46,"('motion', 'filed')",3.896382821918575e-06
47,"('which', 'alleges')",3.896382821918575e-06
48,"('that', 'reproductive')",3.896382821918575e-06
49,"('privacy', 'violated')",3.896382821918575e-06
