,word,relevance_score
0,"('abortion', 'clinics')",1.9801354667539075
1,"('fetal', 'heartbeat')",1.9801354667539075
2,"('clinics', 'state')",1.2693233114169167
3,"('outofstate', 'residents')",1.2693233114169167
4,"('``', 'fetal')",1.2693233114169167
5,"('unborn', 'child')",1.2693233114169167
6,"('legal', 'abortions')",1.2693233114169167
7,"('heartbeat', ""''"")",1.2693233114169167
8,"('women', 'aged')",1.212872163997855
9,"('abortions', 'performed')",0.7818895772072074
10,"('have', 'abortion')",1.7623290184274417e-05
11,"('abortion', ""''"")",1.7623290184274417e-05
12,"('were', 'around')",1.5237607276095775e-05
13,"('left', 'state')",1.3808632771746902e-05
14,"('rights', 'ibis')",1.3808632771746902e-05
15,"('center', 'reproductive')",1.3808632771746902e-05
16,"('ibis', 'reproductive')",1.3808632771746902e-05
17,"('performed', 'south')",1.3808632771746902e-05
18,"('viewpoint', '``')",1.3808632771746902e-05
19,"('alternative', 'viewpoint')",1.3808632771746902e-05
20,"('around', 'abortions')",1.3808632771746902e-05
21,"('possible', 'light')",1.3808632771746902e-05
22,"('rates', 'infant')",1.3808632771746902e-05
23,"('state', 'abortion')",1.3808632771746902e-05
24,"('carolina', 'left')",1.3808632771746902e-05
25,"('child', ""''"")",1.3808632771746902e-05
26,"('other', 'menstrual')",1.3808632771746902e-05
27,"('south', 'carolinian')",1.3808632771746902e-05
28,"('carolinian', 'women')",1.3808632771746902e-05
29,"('aged', 'abortions')",1.3808632771746902e-05
30,"('women', 'south')",1.3808632771746902e-05
31,"('governor', 'nikki')",1.3808632771746902e-05
32,"('around', 'women')",1.3808632771746902e-05
33,"('abortions', 'that')",1.3808632771746902e-05
34,"('that', 'searches')",1.3808632771746902e-05
35,"('special', 'needs')",1.3808632771746902e-05
36,"('aged', 'there')",1.3808632771746902e-05
37,"('menstrual', 'pads')",1.3808632771746902e-05
38,"('prochoice', ""''"")",1.3808632771746902e-05
39,"('abortion', 'clinic')",1.3808632771746902e-05
40,"('views', 'activities')",1.3808632771746902e-05
41,"('``', 'unborn')",1.3808632771746902e-05
42,"('woman', '’')",1.3808632771746902e-05
43,"('``', 'prochoice')",1.3808632771746902e-05
44,"('prolife', 'because')",1.3808632771746902e-05
45,"('also', 'term')",1.3808632771746902e-05
46,"('citizens', 'life')",1.3808632771746902e-05
47,"('fifteen', 'eighteen')",1.3808632771746902e-05
48,"('number', 'abortion')",1.3808632771746902e-05
49,"('adults', 'said')",1.3808632771746902e-05
