,word,relevance_score
0,"('abortion', 'clinic')",2.0547197467071157
1,"('informed', 'consent')",1.5590172967999283
2,"('only', 'abortion')",1.0725347602294673
3,"('with', 'while')",1.0725347602294673
4,"('induced', 'abortions')",1.0725347602294673
5,"('consent', 'materials')",1.0725347602294673
6,"('``', 'unborn')",1.0725347602294673
7,"('dakota', 'third')",1.0725347602294673
8,"('women', 'aged')",2.5876123326775164e-05
9,"('abortion', 'services')",2.5876123326775164e-05
10,"('planned', 'parenthood')",1.9346268171640348e-05
11,"('sioux', 'falls')",1.5876421831885484e-05
12,"('alternative', 'viewpoint')",1.2938512842643275e-05
13,"('ibis', 'reproductive')",1.2938512842643275e-05
14,"('viewpoint', '``')",1.2938512842643275e-05
15,"('center', 'reproductive')",1.2938512842643275e-05
16,"('using', 'ballot')",1.2938512842643275e-05
17,"('legal', 'induced')",1.2938512842643275e-05
18,"('possible', 'light')",1.2938512842643275e-05
19,"('rights', 'ibis')",1.2938512842643275e-05
20,"('rape', 'incest')",1.2938512842643275e-05
21,"('rates', 'infant')",1.2938512842643275e-05
22,"('dakota', 'second')",1.2938512842643275e-05
23,"('abortion', 'service')",1.2938512842643275e-05
24,"('service', 'provider')",1.2938512842643275e-05
25,"('access', 'abortion')",1.2938512842643275e-05
26,"('leslee', 'unruh')",1.2938512842643275e-05
27,"('parenthood', 'clinic')",1.2938512842643275e-05
28,"('banned', 'abortion')",1.2938512842643275e-05
29,"('prochoice', ""''"")",1.2938512842643275e-05
30,"('instead', 'using')",1.2938512842643275e-05
31,"('initiative', 'instead')",1.2938512842643275e-05
32,"('abortion', 'clinics')",1.2938512842643275e-05
33,"('materials', 'south')",1.2938512842643275e-05
34,"('ballot', 'november')",1.2938512842643275e-05
35,"('views', 'activities')",1.2938512842643275e-05
36,"('aged', 'abortions')",1.2938512842643275e-05
37,"('abortions', 'with')",1.2938512842643275e-05
38,"('``', 'prochoice')",1.2938512842643275e-05
39,"('with', 'idaho')",1.2938512842643275e-05
40,"('clinic', 'time')",1.2938512842643275e-05
41,"('also', 'term')",1.2938512842643275e-05
42,"('using', 'courts')",1.2938512842643275e-05
43,"('clinic', 'state')",1.2938512842643275e-05
44,"('unborn', 'child')",1.2938512842643275e-05
45,"('child', ""''"")",1.2938512842643275e-05
46,"('legal', 'abortions')",1.2938512842643275e-05
47,"('abortion', 'state')",1.2938512842643275e-05
48,"('given', 'women')",5.876563076913493e-06
49,"('ballot', 'initiative')",5.876563076913493e-06
