,word,relevance_score
0,"('abortion', 'clinics')",1.1424278893869897
1,"('that', 'tried')",1.1424278893869897
2,"('fetal', 'heartbeat')",1.1424278893869897
3,"('heartbeat', 'bill')",1.1424278893869897
4,"('filed', 'tennessee')",1.1424278893869897
5,"('between', 'weeks')",1.1424278893869897
6,"('women', 'aged')",0.5513426793776693
7,"('rates', 'infant')",1.3248954727001313e-05
8,"('clinics', 'state')",1.3248954727001313e-05
9,"('alternative', 'viewpoint')",1.3248954727001313e-05
10,"('viewpoint', '``')",1.3248954727001313e-05
11,"('guttmacher', 'institute')",1.3248954727001313e-05
12,"('delayed', 'excessive')",1.3248954727001313e-05
13,"('center', 'reproductive')",1.3248954727001313e-05
14,"('with', 'delayed')",1.3248954727001313e-05
15,"('illegal', 'abortion')",1.3248954727001313e-05
16,"('ibis', 'reproductive')",1.3248954727001313e-05
17,"('aged', 'abortions')",1.3248954727001313e-05
18,"('possible', 'light')",1.3248954727001313e-05
19,"('pass', 'fetal')",1.3248954727001313e-05
20,"('tennessee', 'house')",1.3248954727001313e-05
21,"('february', 'passed')",1.3248954727001313e-05
22,"('rights', 'ibis')",1.3248954727001313e-05
23,"('excessive', 'hemorrhage')",1.3248954727001313e-05
24,"('abortion', 'clinic')",1.3248954727001313e-05
25,"('prochoice', ""''"")",1.3248954727001313e-05
26,"('``', 'prochoice')",1.3248954727001313e-05
27,"('child', ""''"")",1.3248954727001313e-05
28,"('``', 'unborn')",1.3248954727001313e-05
29,"('also', 'term')",1.3248954727001313e-05
30,"('legal', 'abortions')",1.3248954727001313e-05
31,"('number', 'abortion')",1.3248954727001313e-05
32,"('wade', 'overturned')",1.3248954727001313e-05
33,"('illegal', 'from')",1.3248954727001313e-05
34,"('state', 'tennessee')",6.523369525168786e-06
35,"('wade', 'ruling')",6.523369525168786e-06
36,"('supporting', 'abortion')",6.523369525168786e-06
37,"('tried', 'failed')",6.523369525168786e-06
38,"('abortion', 'services')",6.523369525168786e-06
39,"(""''"", 'implies')",6.523369525168786e-06
40,"('abortion', ""''"")",6.523369525168786e-06
41,"('elective', 'abortion')",6.523369525168786e-06
42,"('become', 'illegal')",3.2490537492453907e-06
43,"('april', 'abortion')",3.2490537492453907e-06
44,"('point', 'conception')",3.2490537492453907e-06
45,"('july', 'days')",3.2490537492453907e-06
46,"('adopted', 'april')",3.2490537492453907e-06
47,"('after', 'overturning')",3.2490537492453907e-06
48,"('judicial', 'history')",3.2490537492453907e-06
49,"('ruling', 'meant')",3.2490537492453907e-06
