,word,relevance_score
0,"('rape', 'incest')",2.0919985799804075
1,"('abortion', 'clinics')",1.5986475726840732
2,"('women', 'aged')",0.5675190890847045
3,"('abortion', 'should')",1.9525067745739706e-05
4,"('abortions', 'performed')",1.6381487527454718e-05
5,"('elective', 'abortion')",1.6381487527454718e-05
6,"('``', 'unborn')",1.3215863387867634e-05
7,"('where', 'pregnancy')",1.3215863387867634e-05
8,"('only', 'abortion')",1.3215863387867634e-05
9,"('``', 'elective')",1.3215863387867634e-05
10,"('also', 'term')",1.3215863387867634e-05
11,"('’', 'health')",1.3215863387867634e-05
12,"('mothers', '’')",1.3215863387867634e-05
13,"('threats', 'mothers')",1.3215863387867634e-05
14,"('incest', 'threats')",1.3215863387867634e-05
15,"('child', ""''"")",1.3215863387867634e-05
16,"('utah', 'only')",1.3215863387867634e-05
17,"('possible', 'light')",1.3215863387867634e-05
18,"('prochoice', ""''"")",1.3215863387867634e-05
19,"('other', 'menstrual')",1.3215863387867634e-05
20,"('cases', 'rape')",1.3215863387867634e-05
21,"('alternative', 'viewpoint')",1.3215863387867634e-05
22,"('viewpoint', '``')",1.3215863387867634e-05
23,"('``', 'abortion')",1.3215863387867634e-05
24,"('center', 'reproductive')",1.3215863387867634e-05
25,"('menstrual', 'pads')",1.3215863387867634e-05
26,"('rights', 'ibis')",1.3215863387867634e-05
27,"('ibis', 'reproductive')",1.3215863387867634e-05
28,"('``', 'prochoice')",1.3215863387867634e-05
29,"('found', 'utahns')",1.3215863387867634e-05
30,"('institute', 'politics')",1.3215863387867634e-05
31,"('newshinckley', 'institute')",1.3215863387867634e-05
32,"('live', 'births')",1.3215863387867634e-05
33,"('deaths', 'live')",1.3215863387867634e-05
34,"('banned', 'following')",1.3215863387867634e-05
35,"('aged', 'abortions')",1.3215863387867634e-05
36,"('rates', 'infant')",1.3215863387867634e-05
37,"('adults', 'said')",1.3215863387867634e-05
38,"('said', 'abortion')",1.3215863387867634e-05
39,"('abortion', 'clinic')",1.3215863387867634e-05
40,"('deseret', 'newshinckley')",1.3215863387867634e-05
41,"('clinics', 'state')",1.3215863387867634e-05
42,"('informed', 'consent')",1.3215863387867634e-05
43,"('should', 'legal')",9.525350269350018e-06
44,"('woman', 'abortion')",6.381932367313123e-06
45,"('saying', 'should')",6.381932367313123e-06
46,"('with', 'saying')",6.381932367313123e-06
47,"(""''"", 'implies')",6.381932367313123e-06
48,"('have', 'abortion')",6.381932367313123e-06
49,"('abortion', ""''"")",6.381932367313123e-06
