,word,relevance_score
0,"('rates', 'infant')",1.0984744062520384
1,"('access', 'abortion')",1.0984744062520384
2,"('abortion', 'clinics')",1.0984744062520384
3,"('women', 'aged')",2.593478025115963e-05
4,"('abortion', 'services')",1.6057491145304272e-05
5,"('child', ""''"")",1.3028740015899232e-05
6,"('protect', 'woman')",1.3028740015899232e-05
7,"('possible', 'light')",1.3028740015899232e-05
8,"('seeking', 'protect')",1.3028740015899232e-05
9,"('alternative', 'viewpoint')",1.3028740015899232e-05
10,"('viewpoint', '``')",1.3028740015899232e-05
11,"('center', 'reproductive')",1.3028740015899232e-05
12,"('legislation', 'seeking')",1.3028740015899232e-05
13,"('have', 'legislation')",1.3028740015899232e-05
14,"('ibis', 'reproductive')",1.3028740015899232e-05
15,"('prochoice', ""''"")",1.3028740015899232e-05
16,"('according', 'megan')",1.3028740015899232e-05
17,"('megan', 'donovan')",1.3028740015899232e-05
18,"('donovan', 'senior')",1.3028740015899232e-05
19,"('senior', 'policy')",1.3028740015899232e-05
20,"('policy', 'manager')",1.3028740015899232e-05
21,"('rights', 'ibis')",1.3028740015899232e-05
22,"('``', 'prochoice')",1.3028740015899232e-05
23,"('guttmacher', 'institute')",1.3028740015899232e-05
24,"('manager', 'guttmacher')",1.3028740015899232e-05
25,"('views', 'activities')",1.3028740015899232e-05
26,"('abortion', 'would')",1.3028740015899232e-05
27,"('aged', 'abortions')",1.3028740015899232e-05
28,"('adults', 'said')",1.3028740015899232e-05
29,"('said', 'poll')",1.3028740015899232e-05
30,"('poll', 'research')",1.3028740015899232e-05
31,"('services', 'have')",1.3028740015899232e-05
32,"('abortion', 'clinic')",1.3028740015899232e-05
33,"('illegal', 'abortion')",1.3028740015899232e-05
34,"('vermont', 'republican')",1.3028740015899232e-05
35,"('mortality', 'united')",1.3028740015899232e-05
36,"('lowest', 'rates')",1.3028740015899232e-05
37,"('also', 'term')",1.3028740015899232e-05
38,"('have', 'lowest')",1.3028740015899232e-05
39,"('``', 'unborn')",1.3028740015899232e-05
40,"('clinics', 'state')",1.3028740015899232e-05
41,"('infant', 'mortality')",9.086148356300339e-06
42,"('institute', 'states')",6.057630567207468e-06
43,"('woman', 'right')",6.057630567207468e-06
44,"('right', 'access')",6.057630567207468e-06
45,"('abortion', 'restrictions')",6.057630567207468e-06
46,"(""''"", 'implies')",6.057630567207468e-06
47,"('elective', 'abortion')",6.057630567207468e-06
48,"('abortion', ""''"")",6.057630567207468e-06
49,"('needs', 'pass')",3.028809727784023e-06
