,word,relevance_score
0,"('abortion', 'clinics')",2.2636267515627067
1,"('antiabortion', 'rights')",1.1273503359463226
2,"('women', 'aged')",1.09725450673136
3,"('clinics', 'advertising')",1.3206995993810076e-05
4,"('advertising', 'their')",1.3206995993810076e-05
5,"('were', 'unconstitutional')",1.3206995993810076e-05
6,"('abortionspecific', 'informed')",1.3206995993810076e-05
7,"('informed', 'consent')",1.3206995993810076e-05
8,"('consent', 'requirement')",1.3206995993810076e-05
9,"('number', 'abortion')",1.3206995993810076e-05
10,"('legal', 'abortions')",1.3206995993810076e-05
11,"('arson', 'attacks')",1.3206995993810076e-05
12,"('also', 'term')",1.3206995993810076e-05
13,"('``', 'unborn')",1.3206995993810076e-05
14,"('child', ""''"")",1.3206995993810076e-05
15,"('``', 'prochoice')",1.3206995993810076e-05
16,"('prochoice', ""''"")",1.3206995993810076e-05
17,"('alternative', 'viewpoint')",1.3206995993810076e-05
18,"('viewpoint', '``')",1.3206995993810076e-05
19,"('center', 'reproductive')",1.3206995993810076e-05
20,"('rights', 'ibis')",1.3206995993810076e-05
21,"('ibis', 'reproductive')",1.3206995993810076e-05
22,"('rates', 'infant')",1.3206995993810076e-05
23,"('menstrual', 'pads')",1.3206995993810076e-05
24,"('other', 'menstrual')",1.3206995993810076e-05
25,"('clinics', 'state')",1.3206995993810076e-05
26,"('abortion', 'clinic')",1.3206995993810076e-05
27,"('aged', 'abortions')",1.3206995993810076e-05
28,"('views', 'activities')",1.3206995993810076e-05
29,"('bans', 'abortion')",1.3206995993810076e-05
30,"('state', 'bans')",1.3206995993810076e-05
31,"('possible', 'light')",1.3206995993810076e-05
32,"('examine', 'approve')",1.3206995993810076e-05
33,"('bigelow', 'virginia')",1.3206995993810076e-05
34,"('adults', 'said')",1.3206995993810076e-05
35,"('board', 'examine')",1.3206995993810076e-05
36,"('psychiatric', 'reasons')",1.3206995993810076e-05
37,"('approved', 'psychiatric')",1.3206995993810076e-05
38,"('poll', 'research')",1.3206995993810076e-05
39,"('approve', 'abortion')",1.3206995993810076e-05
40,"('abortion', 'requests')",1.3206995993810076e-05
41,"('said', 'poll')",1.3206995993810076e-05
42,"('requests', 'that')",1.3206995993810076e-05
43,"('elective', 'abortion')",6.401613830427336e-06
44,"('abortion', ""''"")",6.401613830427336e-06
45,"('abortion', 'restrictions')",6.401613830427336e-06
46,"('services', 'were')",6.401613830427336e-06
47,"('number', 'abortions')",6.401613830427336e-06
48,"('abortions', 'performed')",6.401613830427336e-06
49,"(""''"", 'implies')",6.401613830427336e-06
