,word,relevance_score
0,"('abortion', 'clinics')",1.7006786901867132
1,"('clinics', 'state')",1.264826295696916
2,"('have', 'abortion')",1.738339138480275e-05
3,"('poll', 'research')",1.3670329519183766e-05
4,"('fetus', 'viable')",1.3670329519183766e-05
5,"('also', 'term')",1.3670329519183766e-05
6,"('``', 'prochoice')",1.3670329519183766e-05
7,"('prochoice', ""''"")",1.3670329519183766e-05
8,"('access', 'abortion')",1.3670329519183766e-05
9,"('legal', 'abortions')",1.3670329519183766e-05
10,"('possible', 'light')",1.3670329519183766e-05
11,"('made', 'abortion')",1.3670329519183766e-05
12,"('abortion', 'clinic')",1.3670329519183766e-05
13,"('alternative', 'viewpoint')",1.3670329519183766e-05
14,"('were', 'planned')",1.3670329519183766e-05
15,"('``', 'unborn')",1.3670329519183766e-05
16,"('child', ""''"")",1.3670329519183766e-05
17,"('said', 'poll')",1.3670329519183766e-05
18,"('adults', 'said')",1.3670329519183766e-05
19,"('viewpoint', '``')",1.3670329519183766e-05
20,"('center', 'reproductive')",1.3670329519183766e-05
21,"('rights', 'ibis')",1.3670329519183766e-05
22,"('views', 'activities')",1.3670329519183766e-05
23,"('ibis', 'reproductive')",1.3670329519183766e-05
24,"('other', 'menstrual')",1.3670329519183766e-05
25,"('rates', 'infant')",1.3670329519183766e-05
26,"('menstrual', 'pads')",1.3670329519183766e-05
27,"('parenthood', 'clinics')",1.3670329519183766e-05
28,"(""''"", 'implies')",7.383516706332904e-06
29,"('wade', 'ruling')",7.383516706332904e-06
30,"('abortion', 'services')",7.383516706332904e-06
31,"('elective', 'abortion')",7.383516706332904e-06
32,"('woman', 'abortion')",7.383516706332904e-06
33,"('abortion', 'legal')",7.383516706332904e-06
34,"('legal', 'point')",7.383516706332904e-06
35,"('woman', 'right')",7.383516706332904e-06
36,"('abortion', ""''"")",7.383516706332904e-06
37,"('reproductive', 'health')",4.9547537099660115e-06
38,"('certain', 'qualified')",3.67039288111479e-06
39,"('nonphysicians', 'prescribe')",3.67039288111479e-06
40,"('prescribe', 'drugs')",3.67039288111479e-06
41,"('drugs', 'medical')",3.67039288111479e-06
42,"('allow', 'certain')",3.67039288111479e-06
43,"('medical', 'abortions')",3.67039288111479e-06
44,"('abortions', 'only')",3.67039288111479e-06
45,"('only', 'august')",3.67039288111479e-06
46,"('august', 'state')",3.67039288111479e-06
47,"('qualified', 'nonphysicians')",3.67039288111479e-06
48,"('abortion', 'actively')",3.67039288111479e-06
49,"('daysas', 'washington')",3.67039288111479e-06
