,word,relevance_score
0,"('abortion', 'clinic')",1.6253033266265755
1,"('unborn', 'child')",1.1665376842553723
2,"('abortion', 'services')",1.127092489414207
3,"('women', 'aged')",0.00018979442456065686
4,"('viewpoint', '``')",1.3369701096634206e-05
5,"('possible', 'light')",1.3369701096634206e-05
6,"('clinics', 'state')",1.3369701096634206e-05
7,"('alternative', 'viewpoint')",1.3369701096634206e-05
8,"('psychological', 'risks')",1.3369701096634206e-05
9,"('center', 'reproductive')",1.3369701096634206e-05
10,"('ibis', 'reproductive')",1.3369701096634206e-05
11,"('rights', 'ibis')",1.3369701096634206e-05
12,"('child', 'produce')",1.3369701096634206e-05
13,"('parenthood', 'clinic')",1.3369701096634206e-05
14,"('other', 'menstrual')",1.3369701096634206e-05
15,"('rates', 'infant')",1.3369701096634206e-05
16,"('clinic', 'state')",1.3369701096634206e-05
17,"('abortion', 'miscarriage')",1.3369701096634206e-05
18,"('``', 'prochoice')",1.3369701096634206e-05
19,"('menstrual', 'pads')",1.3369701096634206e-05
20,"('aged', 'abortions')",1.3369701096634206e-05
21,"('child', ""''"")",1.3369701096634206e-05
22,"('``', 'unborn')",1.3369701096634206e-05
23,"('miscarriage', 'shall')",1.3369701096634206e-05
24,"('also', 'term')",1.3369701096634206e-05
25,"('abortion', 'clinics')",1.3369701096634206e-05
26,"('legal', 'abortions')",1.3369701096634206e-05
27,"('shall', 'guilty')",1.3369701096634206e-05
28,"('center', 'west')",1.3369701096634206e-05
29,"('such', 'woman')",1.3369701096634206e-05
30,"('virginia', 'legislature')",1.3369701096634206e-05
31,"('seeking', 'abortion')",1.3369701096634206e-05
32,"('prochoice', ""''"")",1.3369701096634206e-05
33,"('clinic', 'that')",1.3369701096634206e-05
34,"('counties', 'state')",6.706647724199711e-06
35,"('parental', 'consent')",6.706647724199711e-06
36,"(""''"", 'implies')",6.706647724199711e-06
37,"('elective', 'abortion')",6.706647724199711e-06
38,"('abortion', ""''"")",6.706647724199711e-06
39,"('women', 'health')",3.4065535984316977e-06
40,"('only', 'abortion')",3.369576684919168e-06
41,"('intent', 'destroy')",3.369576684919168e-06
42,"('destroy', 'unborn')",3.369576684919168e-06
43,"('produce', 'abortion')",3.369576684919168e-06
44,"('shall', 'thereby')",3.369576684919168e-06
45,"('destroy', 'such')",3.369576684919168e-06
46,"('operating', 'abortion')",3.369576684919168e-06
47,"('only', 'operating')",3.369576684919168e-06
48,"('means', 'with')",3.369576684919168e-06
49,"('stopthebans', 'movement')",3.369576684919168e-06
