,word,relevance_score
0,"('admitting', 'privileges')",2.0864642421058255
1,"('access', 'abortion')",1.5932983247238253
2,"('wisconsin', 'alliance')",1.1220450041320083
3,"('clinics', 'state')",1.1220450041320083
4,"('privileges', 'requirement')",1.1220450041320083
5,"('center', 'reproductive')",1.1220450041320083
6,"('abortion', 'providers')",2.6336137918519914e-05
7,"('women', 'aged')",2.6336137918519914e-05
8,"('life', 'mother')",1.3239139916939767e-05
9,"('rates', 'infant')",1.3239139916939767e-05
10,"('ibis', 'reproductive')",1.3239139916939767e-05
11,"('rights', 'ibis')",1.3239139916939767e-05
12,"('abortion', 'clinics')",1.3239139916939767e-05
13,"('informed', 'consent')",1.3239139916939767e-05
14,"('possible', 'light')",1.3239139916939767e-05
15,"('prochoice', ""''"")",1.3239139916939767e-05
16,"('``', 'prochoice')",1.3239139916939767e-05
17,"('child', ""''"")",1.3239139916939767e-05
18,"('``', 'unborn')",1.3239139916939767e-05
19,"('abortion', 'whether')",1.3239139916939767e-05
20,"('``', 'abortion')",1.3239139916939767e-05
21,"('alternative', 'viewpoint')",1.3239139916939767e-05
22,"('sara', 'finger')",1.3239139916939767e-05
23,"('director', 'sara')",1.3239139916939767e-05
24,"('also', 'term')",1.3239139916939767e-05
25,"('requiring', 'abortion')",1.3239139916939767e-05
26,"('banned', 'abortion')",1.3239139916939767e-05
27,"('abortion', 'access')",1.3239139916939767e-05
28,"('physicians', 'providing')",1.3239139916939767e-05
29,"('affiliated', 'medical')",1.3239139916939767e-05
30,"('abortion', 'clinic')",1.3239139916939767e-05
31,"('were', 'planned')",1.3239139916939767e-05
32,"('parenthood', 'clinics')",1.3239139916939767e-05
33,"('aged', 'abortions')",1.3239139916939767e-05
34,"('alliance', 'reproductive')",1.3239139916939767e-05
35,"('state', 'participated')",1.3239139916939767e-05
36,"('with', 'abortion')",1.3239139916939767e-05
37,"('agreement', 'requirement')",1.3239139916939767e-05
38,"('viewpoint', '``')",1.3239139916939767e-05
39,"('transfer', 'agreement')",1.3239139916939767e-05
40,"('adults', 'said')",1.3239139916939767e-05
41,"('said', 'poll')",1.3239139916939767e-05
42,"('poll', 'research')",1.3239139916939767e-05
43,"('abortion', 'wisconsin')",1.3239139916939767e-05
44,"('wisconsin', 'attorney')",1.3239139916939767e-05
45,"('reproductive', 'health')",1.2957569058840892e-05
46,"('should', 'legal')",9.718005527006828e-06
47,"('legal', 'most')",9.718005527006828e-06
48,"('legislature', 'passed')",9.718005527006828e-06
49,"('medical', 'services')",6.478546688378911e-06
