,word,relevance_score
0,"('abortion', 'clinic')",1.6116935050752177
1,"('parenthood', 'clinic')",1.1480335716266643
2,"('clinics', 'state')",1.1480335716266643
3,"('abortion', 'services')",2.6525246439097367e-05
4,"('``', 'prochoice')",1.3254080986432491e-05
5,"('child', ""''"")",1.3254080986432491e-05
6,"('``', 'unborn')",1.3254080986432491e-05
7,"('also', 'term')",1.3254080986432491e-05
8,"('abortion', 'service')",1.3254080986432491e-05
9,"('bans', 'stopthebans')",1.3254080986432491e-05
10,"('stop', 'bans')",1.3254080986432491e-05
11,"('offered', 'abortion')",1.3254080986432491e-05
12,"('medical', 'facilities')",1.3254080986432491e-05
13,"('meant', 'state')",1.3254080986432491e-05
14,"('eight', 'five')",1.3254080986432491e-05
15,"('abortion', 'clinics')",1.3254080986432491e-05
16,"('prochoice', ""''"")",1.3254080986432491e-05
17,"('alternative', 'viewpoint')",1.3254080986432491e-05
18,"('possible', 'light')",1.3254080986432491e-05
19,"('number', 'abortion')",1.3254080986432491e-05
20,"('center', 'reproductive')",1.3254080986432491e-05
21,"('rights', 'ibis')",1.3254080986432491e-05
22,"('ibis', 'reproductive')",1.3254080986432491e-05
23,"('rates', 'infant')",1.3254080986432491e-05
24,"('that', 'tried')",1.3254080986432491e-05
25,"('tried', 'pass')",1.3254080986432491e-05
26,"('access', 'abortion')",1.3254080986432491e-05
27,"('menstrual', 'pads')",1.3254080986432491e-05
28,"('other', 'menstrual')",1.3254080986432491e-05
29,"('would', 'perform')",1.3254080986432491e-05
30,"('perform', 'abortions')",1.3254080986432491e-05
31,"('directly', 'billing')",1.3254080986432491e-05
32,"('existing', 'patients')",1.3254080986432491e-05
33,"('viewpoint', '``')",1.3254080986432491e-05
34,"('introduced', 'wyoming')",1.3254080986432491e-05
35,"('clinic', 'state')",1.3254080986432491e-05
36,"('heartbeat', 'bill')",1.3254080986432491e-05
37,"('wyoming', 'governor')",1.3254080986432491e-05
38,"('fetal', 'heartbeat')",1.3254080986432491e-05
39,"('wyoming', 'secretary')",1.3254080986432491e-05
40,"('illegal', 'wyoming')",1.3254080986432491e-05
41,"('infant', 'mortality')",9.806014173616969e-06
42,"('women', 'from')",9.806014173616969e-06
43,"('protest', 'that')",6.525465351143149e-06
44,"('going', 'from')",6.525465351143149e-06
45,"(""''"", 'implies')",6.525465351143149e-06
46,"('abortion', ""''"")",6.525465351143149e-06
47,"('from', 'eight')",6.525465351143149e-06
48,"('elective', 'abortion')",6.525465351143149e-06
49,"('woman', 'abortion')",6.525465351143149e-06
