,word,relevance_score
0,"('outofstate', 'residents')",1.2193745309712818
1,"('informed', 'consent')",1.2193745309712818
2,"('irreparable', 'harm')",1.3585833928186012e-05
3,"('judge', 'steve')",1.3585833928186012e-05
4,"('under', 'judge')",1.3585833928186012e-05
5,"('georgia', 'under')",1.3585833928186012e-05
6,"('against', 'enforcement')",1.3585833928186012e-05
7,"('sought', 'injunction')",1.3585833928186012e-05
8,"('rights', 'sued')",1.3585833928186012e-05
9,"('center', 'reproductive')",1.3585833928186012e-05
10,"('union', 'planned')",1.3585833928186012e-05
11,"('steve', 'jones')",1.3585833928186012e-05
12,"('referring', 'women')",1.3585833928186012e-05
13,"('consent', 'materials')",1.3585833928186012e-05
14,"('rape', 'incest')",1.3585833928186012e-05
15,"('viewpoint', '``')",1.3585833928186012e-05
16,"('alternative', 'viewpoint')",1.3585833928186012e-05
17,"('possible', 'light')",1.3585833928186012e-05
18,"('parenthood', 'center')",1.3585833928186012e-05
19,"('jones', 'jones')",1.3585833928186012e-05
20,"('jones', 'ruled')",1.3585833928186012e-05
21,"('favor', 'injunction')",1.3585833928186012e-05
22,"('plaintiffs', ""''"")",1.3585833928186012e-05
23,"('harm', 'plaintiffs')",1.3585833928186012e-05
24,"('inflicts', 'irreparable')",1.3585833928186012e-05
25,"('turn', 'inflicts')",1.3585833928186012e-05
26,"('privacy', 'which')",1.3585833928186012e-05
27,"('violates', 'constitutional')",1.3585833928186012e-05
28,"('abortions', 'violates')",1.3585833928186012e-05
29,"('previability', 'abortions')",1.3585833928186012e-05
30,"('banning', 'previability')",1.3585833928186012e-05
31,"('stating', 'banning')",1.3585833928186012e-05
32,"('october', 'stating')",1.3585833928186012e-05
33,"('decision', 'october')",1.3585833928186012e-05
34,"('enforcement', 'decision')",1.3585833928186012e-05
35,"('block', 'enforcement')",1.3585833928186012e-05
36,"('injunction', 'block')",1.3585833928186012e-05
37,"('prochoice', ""''"")",1.3585833928186012e-05
38,"('``', 'prochoice')",1.3585833928186012e-05
39,"('sued', 'state')",1.3585833928186012e-05
40,"('electrical', 'activity')",1.3585833928186012e-05
41,"('wade', 'dobbs')",1.3585833928186012e-05
42,"('child', ""''"")",1.3585833928186012e-05
43,"('organization', 'later')",1.3585833928186012e-05
44,"('abortion', 'state')",1.3585833928186012e-05
45,"('embryonic', 'fetal')",1.3585833928186012e-05
46,"('sixweek', 'abortion')",1.3585833928186012e-05
47,"('also', 'term')",1.3585833928186012e-05
48,"('fetal', 'cardiac')",1.3585833928186012e-05
49,"('cardiac', 'electrical')",1.3585833928186012e-05
