,word,relevance_score
0,"('physicians', 'surgeons')",1.8789744799819035
1,"('aaps', 'filed')",1.1248386909100057
2,"('frontline', 'doctors')",1.1248386909100057
3,"('between', 'abortion')",1.1248386909100057
4,"('journal', '``')",1.1248386909100057
5,"('jane', 'orient')",1.1248386909100057
6,"('director', 'jane')",1.1248386909100057
7,"('america', 'frontline')",1.1248386909100057
8,"('against', 'covid')",1.1248386909100057
9,"('american', 'physicians')",2.9498936712536256e-05
10,"('published', 'journal')",2.2665808962295376e-05
11,"('breast', 'cancer')",1.9499163418854106e-05
12,"('rand', 'paul')",1.6332573512332997e-05
13,"('bill', 'proposed')",1.6332573512332997e-05
14,"('medical', 'association')",1.6332573512332997e-05
15,"('medical', 'records')",1.6332573512332997e-05
16,"('president', 'marilyn')",1.3166047529754625e-05
17,"('member', 'oregon')",1.3166047529754625e-05
18,"('electronic', 'medical')",1.3166047529754625e-05
19,"(""''"", 'aaps')",1.3166047529754625e-05
20,"('socialistic', 'scheme')",1.3166047529754625e-05
21,"('journal', 'have')",1.3166047529754625e-05
22,"('cases', 'leprosy')",1.3166047529754625e-05
23,"('doctors', 'should')",1.3166047529754625e-05
24,"('leprosy', 'claim')",1.3166047529754625e-05
25,"('aaps', 'opposes')",1.3166047529754625e-05
26,"('marilyn', 'singleton')",1.3166047529754625e-05
27,"('cosman', 'claimed')",1.3166047529754625e-05
28,"('abortion', 'breast')",1.3166047529754625e-05
29,"('john', 'cooksey')",1.3166047529754625e-05
30,"('clinton', 'health')",1.3166047529754625e-05
31,"('experimental', 'treatment')",1.3166047529754625e-05
32,"('covid', 'hydroxychloroquine')",1.3166047529754625e-05
33,"('witch', 'doctor')",1.3166047529754625e-05
34,"('article', 'claiming')",1.3166047529754625e-05
35,"('care', 'gender')",1.3166047529754625e-05
36,"('college', 'pediatricians')",1.3166047529754625e-05
37,"('william', 'hurwitz')",1.3166047529754625e-05
38,"('physicians', 'patient')",1.3166047529754625e-05
39,"('covid', 'that')",1.3166047529754625e-05
40,"('scope', 'practice')",1.3166047529754625e-05
41,"('conservative', 'activist')",1.3166047529754625e-05
42,"('andrew', 'schlafly')",1.3166047529754625e-05
43,"('ukrainianamerican', 'physician')",1.3166047529754625e-05
44,"('paul', 'member')",1.3166047529754625e-05
45,"('vladimir', 'zelenko')",1.3166047529754625e-05
46,"('simone', 'gold')",1.3166047529754625e-05
47,"('treatment', 'covid')",1.3166047529754625e-05
48,"('chloroquine', 'hydroxychloroquine')",1.3166047529754625e-05
49,"('magazine', 'rightwing')",1.3166047529754625e-05
