,word,relevance_score
0,"('rape', 'incest')",2.777454426874779
1,"('weeks', ""'"")",2.565778326550341
2,"(""'"", 'gestation')",2.565778326550341
3,"('prochoice', ""''"")",2.439647651243053
4,"('woman', 'health')",2.439647651243053
5,"('``', 'prochoice')",2.439647651243053
6,"('abortions', 'were')",2.294365214732067
7,"('abortion', 'rate')",2.294365214732067
8,"('whole', 'woman')",2.1225871714607862
9,"('guttmacher', 'institute')",2.1225871714607862
10,"('should', 'generally')",2.1225871714607862
11,"('cases', 'rape')",2.1225871714607862
12,"('abortion', 'clinic')",2.1225871714607862
13,"('abortion', 'should')",1.9153384684377943
14,"('``', 'sanctuary')",1.9111980382835543
15,"('life', 'endangerment')",1.9111980382835543
16,"('sanctuary', 'city')",1.9111980382835543
17,"('abortion', 'being')",1.9111980382835543
18,"('after', 'viability')",1.9111980382835543
19,"('``', 'abortion')",1.9111980382835543
20,"('performed', 'weeks')",1.9111980382835543
21,"('city', 'unborn')",1.9111980382835543
22,"('access', 'abortion')",1.9111980382835543
23,"('have', 'abortion')",1.723763457986901
24,"('abortions', 'accounted')",1.6315645517517923
25,"('illegal', '``')",1.6315645517517923
26,"('medical', 'abortions')",1.6315645517517923
27,"('unborn', ""''"")",1.6315645517517923
28,"('availability', 'abortion')",1.6315645517517923
29,"('allowed', 'abortions')",1.6315645517517923
30,"('first', 'trimester')",1.5699957528739776
31,"('prolife', ""''"")",1.430505161115265
32,"('legal', 'abortion')",1.430505161115265
33,"('abortion', ""''"")",1.382512575893978
34,"('support', 'abortion')",1.382512575893978
35,"('abortion', 'providers')",1.382512575893978
36,"('``', 'prolife')",1.2916971021179862
37,"('should', 'legal')",1.2916971021179862
38,"('state', 'abortion')",1.1733222912419308
39,"('medical', 'profession')",1.1733222912419308
40,"('human', 'being')",1.1733222912419308
41,"('city', 'policy')",1.1733222912419308
42,"('antiabortion', 'laws')",1.1733222912419308
43,"('after', 'quickening')",1.1733222912419308
44,"('firsttrimester', 'abortions')",1.1733222912419308
45,"('legal', 'only')",1.1733222912419308
46,"('seeking', 'abortion')",1.1733222912419308
47,"('abortion', 'debate')",1.1733222912419308
48,"('undue', 'burden')",1.1733222912419308
49,"('than', 'abortions')",1.1733222912419308
