,word,relevance_score
0,"('naral', 'prochoice')",2.4645871351087374
1,"('religious', 'coalition')",2.4645871351087374
2,"('coalition', 'reproductive')",2.4645871351087374
3,"('reproductive', 'choice')",2.4645871351087374
4,"('prochoice', 'america')",2.1477189281582705
5,"('abortion', 'federation')",2.1477189281582705
6,"('national', 'abortion')",1.4090706414773118
7,"('having', 'abortion')",1.2037991798211942
8,"('rcrc', 'website')",1.2037991798211942
9,"('parent', 'website')",1.2037991798211942
10,"('abortion', 'clinics')",1.2037991798211942
11,"('catholics', 'choice')",1.2037991798211942
12,"('woman', 'health')",1.2037991798211942
13,"('abortion', 'without')",1.2037991798211942
14,"('reproductive', 'freedom')",1.2037991798211942
15,"('prochoice', 'movement')",1.2037991798211942
16,"('abortion', 'rights')",0.6141548372726083
17,"('support', 'abortion')",0.542179641748582
18,"('planned', 'parenthood')",3.638136634085349e-05
19,"('this', 'organization')",2.0910528767756324e-05
20,"('house', 'bill')",1.818141738687103e-05
21,"('each', 'woman')",1.7274053860281128e-05
22,"('organization', 'also')",1.7274053860281128e-05
23,"('access', 'abortions')",1.7274053860281128e-05
24,"('consent', 'from')",1.7274053860281128e-05
25,"('allowed', 'women')",1.7274053860281128e-05
26,"('mother', 'life')",1.7274053860281128e-05
27,"('have', 'choice')",1.7274053860281128e-05
28,"('women', 'would')",1.7274053860281128e-05
29,"('once', 'woman')",1.3635730695015828e-05
30,"('american', 'medical')",1.3635730695015828e-05
31,"('care', 'fetus')",1.3635730695015828e-05
32,"('individual', 'conscience')",1.3635730695015828e-05
33,"('trimesters', 'pregnancy')",1.3635730695015828e-05
34,"('fetal', 'viability')",1.3635730695015828e-05
35,"('definition', 'viability')",1.3635730695015828e-05
36,"('frank', 'susman')",1.3635730695015828e-05
37,"('abortion', 'unless')",1.3635730695015828e-05
38,"('case', 'taken')",1.3635730695015828e-05
39,"('abortion', 'access')",1.3635730695015828e-05
40,"('states', 'abortion')",1.3635730695015828e-05
41,"('woman', 'enters')",1.3635730695015828e-05
42,"('regarding', 'abortions')",1.3635730695015828e-05
43,"('unless', 'mother')",1.3635730695015828e-05
44,"('wanted', 'abortion')",1.3635730695015828e-05
45,"('find', 'abortion')",1.3635730695015828e-05
46,"('rcrc', 'called')",1.3635730695015828e-05
47,"('abortion', 'birth')",1.3635730695015828e-05
48,"('dedicated', 'rcrc')",1.3635730695015828e-05
49,"('website', 'dedicated')",1.3635730695015828e-05
