,word,relevance_score
0,"('about', 'youth')",1.5931105502037994
1,"('academy', 'pediatrics')",1.1173477110502967
2,"('american', 'academy')",1.0922541598385753
3,"('facts', 'about')",1.949417723244778e-05
4,"('gorski', 'said')",1.3164671289569387e-05
5,"('fringe', 'group')",1.3164671289569387e-05
6,"('``', 'small')",1.3164671289569387e-05
7,"('acpeds', '``')",1.3164671289569387e-05
8,"('that', 'acpeds')",1.3164671289569387e-05
9,"('college', 'pediatricians')",1.3164671289569387e-05
10,"('group', 'pediatricians')",1.3164671289569387e-05
11,"('other', 'healthcare')",1.3164671289569387e-05
12,"('healthcare', 'professionals')",1.3164671289569387e-05
13,"('letter', 'superintendents')",1.3164671289569387e-05
14,"('acpeds', 'letter')",1.3164671289569387e-05
15,"(""''"", 'acpeds')",1.3164671289569387e-05
16,"('work', 'advance')",6.32953413409011e-06
17,"('hate', 'group')",6.32953413409011e-06
18,"('american', 'college')",6.32953413409011e-06
19,"('should', 'deny')",3.1647399577340552e-06
20,"('youth', 'website')",3.1647399577340552e-06
21,"('parents', 'facts')",3.1647399577340552e-06
22,"('children', 'parents')",3.1647399577340552e-06
23,"('misleading', 'children')",3.1647399577340552e-06
24,"('acpeds', 'misleading')",3.1647399577340552e-06
25,"('accusing', 'acpeds')",3.1647399577340552e-06
26,"('through', 'accusing')",3.1647399577340552e-06
27,"('letter', 'accusing')",3.1647399577340552e-06
28,"('accusing', 'them')",3.1647399577340552e-06
29,"('statement', 'through')",3.1647399577340552e-06
30,"('health', 'issued')",3.1647399577340552e-06
31,"('that', 'schools')",3.1647399577340552e-06
32,"('mischaracterizing', 'research')",3.1647399577340552e-06
33,"('geneticist', 'director')",3.1647399577340552e-06
34,"('research', 'their')",3.1647399577340552e-06
35,"('publications', 'argue')",3.1647399577340552e-06
36,"('collins', 'geneticist')",3.1647399577340552e-06
37,"('website', 'warren')",3.1647399577340552e-06
38,"('teenagers', 'francis')",3.1647399577340552e-06
39,"('support', 'teenagers')",3.1647399577340552e-06
40,"('deny', 'support')",3.1647399577340552e-06
41,"('fundamentally', 'mischaracterizing')",3.1647399577340552e-06
42,"('warren', 'throckmorton')",3.1647399577340552e-06
43,"('misused', 'saying')",3.1647399577340552e-06
44,"('therapist', 'specializes')",3.1647399577340552e-06
45,"('regarding', 'removal')",3.1647399577340552e-06
46,"('brief', 'regarding')",3.1647399577340552e-06
47,"('in', 'amicus')",3.1647399577340552e-06
48,"('obviously', 'true')",3.1647399577340552e-06
49,"('just', 'obviously')",3.1647399577340552e-06
