,word,relevance_score
0,"('life', 'league')",2.0114623143489507
1,"('lion', 'king')",1.404517766178561e-05
2,"('little', 'mermaid')",1.404517766178561e-05
3,"('charity', 'navigator')",1.404517766178561e-05
4,"('paid', 'ceos')",1.404517766178561e-05
5,"('founded', 'april')",4.045237313635584e-06
6,"('phillips', 'publicity')",4.045237313635584e-06
7,"('from', 'howard')",4.045237313635584e-06
8,"('founding', 'from')",4.045237313635584e-06
9,"('assistance', 'founding')",4.045237313635584e-06
10,"('received', 'assistance')",4.045237313635584e-06
11,"('income', 'paid')",4.045237313635584e-06
12,"('almost', 'income')",4.045237313635584e-06
13,"('publicity', 'from')",4.045237313635584e-06
14,"('committee', 'within')",4.045237313635584e-06
15,"('ceos', 'nonprofit')",4.045237313635584e-06
16,"('schism', 'with')",4.045237313635584e-06
17,"('year', 'founding')",4.045237313635584e-06
18,"('from', 'heritage')",4.045237313635584e-06
19,"('cofounder', 'paul')",4.045237313635584e-06
20,"('foundation', 'cofounder')",4.045237313635584e-06
21,"('after', 'schism')",4.045237313635584e-06
22,"('weyrich', 'membership')",4.045237313635584e-06
23,"('membership', 'lists')",4.045237313635584e-06
24,"('lists', 'provided')",4.045237313635584e-06
25,"('provided', 'rightwing')",4.045237313635584e-06
26,"('rightwing', 'direct')",4.045237313635584e-06
27,"('direct', 'mail')",4.045237313635584e-06
28,"('mail', 'specialist')",4.045237313635584e-06
29,"('specialist', 'richard')",4.045237313635584e-06
30,"('richard', 'viguerie')",4.045237313635584e-06
31,"('street', 'tactics')",4.045237313635584e-06
32,"('filed', 'suit')",4.045237313635584e-06
33,"('expenses', 'almost')",4.045237313635584e-06
34,"('antiabortion', 'americans')",4.045237313635584e-06
35,"('nonprofit', 'charity')",4.045237313635584e-06
36,"('s', 'james')",4.045237313635584e-06
37,"('well', 'effect')",4.045237313635584e-06
38,"('ranking', 'indicating')",4.045237313635584e-06
39,"('that', 'contraceptives')",4.045237313635584e-06
40,"('contraceptives', 'have')",4.045237313635584e-06
41,"('have', 'fish')",4.045237313635584e-06
42,"('fish', 'once')",4.045237313635584e-06
43,"('they', 'enter')",4.045237313635584e-06
44,"('enter', 'water')",4.045237313635584e-06
45,"('supply', 'association')",4.045237313635584e-06
46,"('highest', 'paid')",4.045237313635584e-06
47,"('professionals', 'said')",4.045237313635584e-06
48,"('stars', 'ranking')",4.045237313635584e-06
49,"('regarding', 'fish')",4.045237313635584e-06
