,word,relevance_score
0,"('antiabortion', 'movements')",1.1368746676809272
1,"('abortion', 'debate')",1.1368746676809272
2,"('antiabortion', 'organizations')",1.1368746676809272
3,"('abortion', 'clinics')",1.1368746676809272
4,"('antiabortion', 'organization')",1.6441314439932507e-05
5,"('many', 'antiabortion')",1.3252281445806952e-05
6,"('their', 'pregnancies')",1.3252281445806952e-05
7,"('protest', 'abortion')",1.3252281445806952e-05
8,"('major', 'antiabortion')",1.3252281445806952e-05
9,"('abortion', 'which')",1.3252281445806952e-05
10,"('elective', 'abortions')",6.441450252179484e-06
11,"('previous', 'debates')",3.252349584655394e-06
12,"('continuation', 'previous')",3.252349584655394e-06
13,"('part', 'continuation')",3.252349584655394e-06
14,"('movement', 'part')",3.252349584655394e-06
15,"('euthanasia', 'capital')",3.252349584655394e-06
16,"('killing', 'including')",3.252349584655394e-06
17,"('forms', 'killing')",3.252349584655394e-06
18,"('opposes', 'forms')",3.252349584655394e-06
19,"('current', 'movement')",3.252349584655394e-06
20,"('debates', 'abortion')",3.252349584655394e-06
21,"('movement', 'physicians')",3.252349584655394e-06
22,"('century', 'initial')",3.252349584655394e-06
23,"('initial', 'movement')",3.252349584655394e-06
24,"('which', 'opposes')",3.252349584655394e-06
25,"('physicians', 'also')",3.252349584655394e-06
26,"('included', 'politicians')",3.252349584655394e-06
27,"('politicians', 'feminists')",3.252349584655394e-06
28,"('feminists', 'among')",3.252349584655394e-06
29,"('among', 'physicians')",3.252349584655394e-06
30,"('physicians', 'advances')",3.252349584655394e-06
31,"('being', 'banned')",3.252349584655394e-06
32,"('favoring', 'philosophy')",3.252349584655394e-06
33,"('smaller', 'consistent')",3.252349584655394e-06
34,"('ethic', 'movement')",3.252349584655394e-06
35,"('jewish', 'sector')",3.252349584655394e-06
36,"('sector', 'israeli')",3.252349584655394e-06
37,"('israeli', 'society')",3.252349584655394e-06
38,"('society', 'efrat')",3.252349584655394e-06
39,"('efrat', 'officially')",3.252349584655394e-06
40,"('officially', 'views')",3.252349584655394e-06
41,"('views', 'abortion')",3.252349584655394e-06
42,"('abortion', 'among')",3.252349584655394e-06
43,"('jews', 'demographic')",3.252349584655394e-06
44,"('movement', 'favoring')",3.252349584655394e-06
45,"('demographic', 'threat')",3.252349584655394e-06
46,"('response', 'landmark')",3.252349584655394e-06
47,"('landmark', 'wade')",3.252349584655394e-06
48,"('wade', 'bolton')",3.252349584655394e-06
49,"('bolton', 'supreme')",3.252349584655394e-06
