,word,relevance_score
0,"('antiabortion', 'feminists')",2.730414086796372
1,"('antiabortion', 'feminist')",2.067456623447501
2,"('feminist', 'organizations')",2.067456623447501
3,"('prolife', 'feminism')",1.5728740128747691
4,"('``', 'prowoman')",1.5728740128747691
5,"('prowoman', ""''"")",1.5728740128747691
6,"('feminists', 'believe')",1.088548805293359
7,"('other', 'antiabortion')",1.0685589474615087
8,"('that', 'abortion')",1.5109263885969265e-05
9,"('``', 'ultimate')",1.3021868180474688e-05
10,"('mainstream', 'feminists')",1.3021868180474688e-05
11,"('fetal', 'rights')",1.3021868180474688e-05
12,"('abortion', 'debate')",1.3021868180474688e-05
13,"('anthony', 'stanton')",1.3021868180474688e-05
14,"('kennedy', 'mary')",1.3021868180474688e-05
15,"('voluntary', 'motherhood')",1.3021868180474688e-05
16,"('edited', 'derr')",1.3021868180474688e-05
17,"('feminism', 'yesterday')",1.3021868180474688e-05
18,"('yesterday', 'today')",1.3021868180474688e-05
19,"('organizations', 'seek')",1.3021868180474688e-05
20,"('derr', 'naranjohuebl')",1.3021868180474688e-05
21,"('naranjohuebl', 'macnair')",1.3021868180474688e-05
22,"('macnair', 'isbn')",1.3021868180474688e-05
23,"('abortion', 'edited')",1.3021868180474688e-05
24,"('motherhood', ""''"")",1.3021868180474688e-05
25,"('antiabortion', 'groups')",1.3021868180474688e-05
26,"('feminists', 'life')",1.3021868180474688e-05
27,"('abortion', '``')",9.065685479983943e-06
28,"('issue', 'abortion')",9.065685479983943e-06
29,"('elizabeth', 'blackwell')",6.04383281664095e-06
30,"('have', 'abortions')",6.04383281664095e-06
31,"(""''"", 'organizations')",6.04383281664095e-06
32,"('arguments', 'that')",6.04383281664095e-06
33,"('abortion', 'legal')",6.04383281664095e-06
34,"('susan', 'anthony')",6.04383281664095e-06
35,"('health', '``')",3.0219379581336233e-06
36,"('``', 'postabortion')",3.0219379581336233e-06
37,"('postabortion', 'syndrome')",3.0219379581336233e-06
38,"(""''"", 'mental')",3.0219379581336233e-06
39,"('mental', 'condition')",3.0219379581336233e-06
40,"('condition', 'which')",3.0219379581336233e-06
41,"('which', 'medically')",3.0219379581336233e-06
42,"('abortion', 'terms')",3.0219379581336233e-06
43,"('women', 'public')",3.0219379581336233e-06
44,"('research', 'from')",3.0219379581336233e-06
45,"('protecting', 'women')",3.0219379581336233e-06
46,"('feminists', 'reframe')",3.0219379581336233e-06
47,"('terms', 'protecting')",3.0219379581336233e-06
48,"('reframe', 'opposition')",3.0219379581336233e-06
49,"('medically', 'recognized')",3.0219379581336233e-06
