,word,relevance_score
0,"('``', 'prochoice')",2.494857867148368
1,"('prochoice', ""''"")",2.494857867148368
2,"('``', 'abortion')",2.34980082703402
3,"('antiabortion', 'movement')",2.2341633652326824
4,"('prolife', 'movement')",1.6919925833210707
5,"('antiabortion', 'activists')",1.6919925833210707
6,"('united', 'life')",1.6919925833210707
7,"('antiabortion', 'advocates')",1.6919925833210707
8,"('human', 'life')",1.6274238858364178
9,"('prolife', ""''"")",1.6068120687226075
10,"('right', 'life')",1.3503903222444464
11,"('fetal', 'heartbeat')",1.253551071664572
12,"('abortion', 'debate')",1.253551071664572
13,"('crisis', 'pregnancy')",1.253551071664572
14,"('terminate', 'pregnancy')",1.253551071664572
15,"('anthony', 'list')",1.253551071664572
16,"('abortion', 'united')",1.253551071664572
17,"('antiabortion', 'position')",1.253551071664572
18,"('antiabortion', 'cause')",1.253551071664572
19,"('life', 'mother')",1.253551071664572
20,"('consistent', 'life')",1.253551071664572
21,"('antiabortion', 'stance')",1.253551071664572
22,"('prochoice', 'republicans')",1.253551071664572
23,"('antiabortion', 'activism')",1.253551071664572
24,"('license', 'plates')",1.253551071664572
25,"('life', 'chain')",1.253551071664572
26,"('truth', 'displays')",1.253551071664572
27,"('sidewalk', 'counseling')",1.253551071664572
28,"('rape', 'incest')",1.253551071664572
29,"('life', 'ethic')",1.253551071664572
30,"('some', 'antiabortion')",1.253551071664572
31,"('life', 'committee')",1.1996828213458288
32,"('``', 'prolife')",1.1852741716176103
33,"('that', 'abortion')",0.9268023413701647
34,"('before', 'wade')",0.7402678790898927
35,"('that', 'human')",0.7402678790898927
36,"('against', 'abortion')",3.8636506729502096e-05
37,"('national', 'right')",3.119666023675405e-05
38,"('college', 'degree')",2.1196848677218974e-05
39,"('abortion', 'should')",2.1196848677218974e-05
40,"('reports', 'poll')",1.7466420176890397e-05
41,"('circumstances', 'under')",1.7466420176890397e-05
42,"('believe', 'abortion')",1.7466420176890397e-05
43,"('abortion', 'providers')",1.7466420176890397e-05
44,"('susan', 'anthony')",1.7466420176890397e-05
45,"('health', 'risks')",1.7466420176890397e-05
46,"('have', 'abortion')",1.7466420176890397e-05
47,"('abortion', 'euthanasia')",1.4920398341707189e-05
48,"('they', 'prolife')",1.3729533191459023e-05
49,"('live', 'action')",1.3729533191459023e-05
