,word,relevance_score
0,"('abortion', 'clinic')",3.0034040012130587
1,"('parenthood', 'clinic')",2.803455732596498
2,"('antiabortion', 'violence')",2.4515662183756706
3,"('james', 'barrett')",1.8908106879474484
4,"('abortion', 'clinics')",1.8908106879474484
5,"('john', 'britton')",1.8908106879474484
6,"('abortion', 'providers')",1.8447519581077643
7,"('molotov', 'cocktail')",1.673798732417653
8,"('barnett', 'slepian')",1.673798732417653
9,"('george', 'tiller')",1.673798732417653
10,"('pensacola', 'florida')",1.3781855565851886
11,"('killers', ""''"")",1.3781855565851886
12,"('fire', 'planned')",1.3781855565851886
13,"(""''"", 'episode')",1.3781855565851886
14,"('attempted', 'murder')",0.8562765127460582
15,"('planned', 'parenthood')",0.7601123536252902
16,"('attempted', 'murders')",2.3454175177885475e-05
17,"('into', 'clinic')",2.1728536974372217e-05
18,"('clinic', 'entrances')",2.1728536974372217e-05
19,"('access', 'clinic')",2.1728536974372217e-05
20,"('james', 'kopp')",2.1728536974372217e-05
21,"('eric', 'rudolph')",2.1728536974372217e-05
22,"('paul', 'jennings')",2.1728536974372217e-05
23,"('jennings', 'hill')",2.1728536974372217e-05
24,"('abortion', 'federation')",2.1728536974372217e-05
25,"('freedom', 'access')",2.1728536974372217e-05
26,"('baby', 'killers')",2.1728536974372217e-05
27,"('tiller', 'shot')",2.1728536974372217e-05
28,"('operation', 'rescue')",2.1728536974372217e-05
29,"('clinic', 'pensacola')",2.1728536974372217e-05
30,"('bombing', 'abortion')",2.1728536974372217e-05
31,"('bombings', 'arsons')",2.1728536974372217e-05
32,"('criminal', 'mischief')",2.1728536974372217e-05
33,"('arson', 'clinic')",2.1728536974372217e-05
34,"('threw', 'molotov')",2.1728536974372217e-05
35,"('clinic', 'they')",2.1728536974372217e-05
36,"('clinic', 'violence')",2.1728536974372217e-05
37,"('clinic', 'escort')",2.1728536974372217e-05
38,"('providers', 'canada')",2.1728536974372217e-05
39,"('property', 'damage')",1.3454345379174628e-05
40,"('national', 'abortion')",1.3454345379174628e-05
41,"('august', 'three')",1.1727095154269192e-05
42,"('bomb', 'threats')",1.1727095154269192e-05
43,"('anthrax', 'threats')",1.1727095154269192e-05
44,"('invasions', 'bombings')",1.1727095154269192e-05
45,"('butyric', 'acid')",1.1727095154269192e-05
46,"('clinic', 'columbus')",1.1727095154269192e-05
47,"('threats', 'incidents')",1.1727095154269192e-05
48,"('death', 'threats')",1.1727095154269192e-05
49,"('stand', 'trial')",1.1727095154269192e-05
