,word,relevance_score
0,"('fetal', 'rights')",2.3433649144362345
1,"('fetal', 'right')",2.197442524895911
2,"('inheritance', 'rights')",2.0245341817671467
3,"('right', 'life')",1.9612428783822902
4,"('from', 'conception')",1.8110326632870832
5,"('life', 'from')",1.8110326632870832
6,"('unborn', 'child')",1.5257964596283462
7,"('during', 'pregnancy')",1.5257964596283462
8,"('pregnant', 'women')",1.4691741526796847
9,"('that', 'fetus')",1.0136659184643846
10,"('grant', 'fetus')",1.0136659184643846
11,"('right', 'succession')",1.0136659184643846
12,"('pregnant', 'woman')",1.0136659184643846
13,"('after', 'birth')",1.0136659184643846
14,"('fetus', 'right')",1.0136659184643846
15,"('civil', 'codes')",1.0136659184643846
16,"('fetus', 'inheritance')",1.0136659184643846
17,"('unborn', 'children')",2.545036785880053e-05
18,"('born', 'alive')",2.545036785880053e-05
19,"('birth', ""''"")",1.5450643371968534e-05
20,"('alcohol', 'syndrome')",1.2736530886712444e-05
21,"('long', 'fetus')",1.2736530886712444e-05
22,"('before', 'testator')",1.2736530886712444e-05
23,"('testator', 'death')",1.2736530886712444e-05
24,"('fetuses', 'under')",1.2736530886712444e-05
25,"('interests', 'unborn')",1.2736530886712444e-05
26,"('pregnant', 'girl')",1.2736530886712444e-05
27,"('fetus', 'could')",1.2736530886712444e-05
28,"('rights', 'pregnant')",1.2736530886712444e-05
29,"('envisaged', 'that')",1.2736530886712444e-05
30,"('time', 'conception')",1.2736530886712444e-05
31,"('under', 'basic')",1.2736530886712444e-05
32,"('life', 'under')",1.2736530886712444e-05
33,"('before', 'childbirth')",1.2736530886712444e-05
34,"('life', 'does')",1.2736530886712444e-05
35,"('purposes', 'inheritance')",1.2736530886712444e-05
36,"('fetal', 'alcohol')",1.2736530886712444e-05
37,"('granted', 'fetus')",1.2736530886712444e-05
38,"('execution', 'pregnant')",1.2736530886712444e-05
39,"('women', 'until')",1.2736530886712444e-05
40,"('rights', 'fetus')",1.2736530886712444e-05
41,"('grants', 'unborn')",1.2736530886712444e-05
42,"('deadly', 'weapon')",1.2736530886712444e-05
43,"('while', 'pregnant')",1.2736530886712444e-05
44,"('civil', 'code')",1.2736530886712444e-05
45,"('alive', 'rule')",1.2736530886712444e-05
46,"('fetus', 'alive')",1.2736530886712444e-05
47,"('fetal', 'viability')",1.2736530886712444e-05
48,"('fetus', ""'"")",1.2736530886712444e-05
49,"('moment', 'conception')",1.2736530886712444e-05
