,word,relevance_score
0,"('dallas', 'county')",1.8359400630211513
1,"('henry', 'wade')",1.0664714813878347
2,"('wade', 'joined')",1.2860573965670047e-05
3,"('statutes', 'were')",1.2860573965670047e-05
4,"('abortion', 'statutes')",1.2860573965670047e-05
5,"('criminal', 'abortion')",1.2860573965670047e-05
6,"('texas', 'criminal')",1.2860573965670047e-05
7,"('rockwall', 'county')",1.2860573965670047e-05
8,"('dallas', 'police')",1.2860573965670047e-05
9,"('wood', 'dallas')",1.2860573965670047e-05
10,"('blue', 'line')",1.2860573965670047e-05
11,"('murder', 'robert')",1.2860573965670047e-05
12,"('film', 'thin')",1.2860573965670047e-05
13,"('dale', 'adams')",1.2860573965670047e-05
14,"('randall', 'dale')",1.2860573965670047e-05
15,"('harvey', 'oswald')",1.2860573965670047e-05
16,"('jack', 'ruby')",1.2860573965670047e-05
17,"('thin', 'blue')",1.2860573965670047e-05
18,"('robert', 'wood')",5.749128092691389e-06
19,"('sides', 'crossappealed')",2.8667399969785283e-06
20,"('appellate', 'process')",2.8667399969785283e-06
21,"('through', 'appellate')",2.8667399969785283e-06
22,"('worked', 'through')",2.8667399969785283e-06
23,"('case', 'worked')",2.8667399969785283e-06
24,"('process', 'culminating')",2.8667399969785283e-06
25,"('culminating', 'supreme')",2.8667399969785283e-06
26,"('crossappealed', 'case')",2.8667399969785283e-06
27,"('were', 'void')",2.8667399969785283e-06
28,"('criminal', 'statutes')",2.8667399969785283e-06
29,"('injunction', 'declared')",2.8667399969785283e-06
30,"('desired', 'injunction')",2.8667399969785283e-06
31,"('grant', 'desired')",2.8667399969785283e-06
32,"('refused', 'grant')",2.8667399969785283e-06
33,"('landmark', 'wade')",2.8667399969785283e-06
34,"('statutes', 'lower')",2.8667399969785283e-06
35,"('enforcing', 'statutes')",2.8667399969785283e-06
36,"('from', 'enforcing')",2.8667399969785283e-06
37,"('defendant', 'from')",2.8667399969785283e-06
38,"('declared', 'criminal')",2.8667399969785283e-06
39,"('made', 'abortion')",2.8667399969785283e-06
40,"('office', 'additional')",2.8667399969785283e-06
41,"('wade', 'unpopularity')",2.8667399969785283e-06
42,"('wade', 'juvenile')",2.8667399969785283e-06
43,"('the', 'chief')",2.8667399969785283e-06
44,"('dallas', 'called')",2.8667399969785283e-06
45,"('members', 'dallas')",2.8667399969785283e-06
46,"('courts', 'building')",2.8667399969785283e-06
47,"('crowley', 'courts')",2.8667399969785283e-06
48,"('around', 'crowley')",2.8667399969785283e-06
49,"('fixture', 'around')",2.8667399969785283e-06
