,word,relevance_score
0,"('that', 'soul')",0.7213028013895016
1,"('ecclesiastical', 'courts')",0.7213028013895016
2,"('offspring', 'limitation')",0.7213028013895016
3,"('mention', 'abortion')",0.7213028013895016
4,"('body', 'conception')",0.7213028013895016
5,"('rational', 'soul')",0.7213028013895016
6,"('delayed', 'hominization')",0.7213028013895016
7,"('enters', 'body')",0.7213028013895016
8,"('first', 'breath')",0.7213028013895016
9,"('soul', ""''"")",1.3877207957509394e-05
10,"('plato', 'believed')",1.2001382180661405e-05
11,"('physical', 'body')",1.2001382180661405e-05
12,"('enters', 'physical')",1.2001382180661405e-05
13,"('abortion', 'before')",1.2001382180661405e-05
14,"('reincarnating', 'soul')",1.2001382180661405e-05
15,"('world', 'soul')",1.2001382180661405e-05
16,"('stream', 'consciousness')",1.2001382180661405e-05
17,"('incorporeal', 'belief')",1.2001382180661405e-05
18,"('abortion', 'save')",1.2001382180661405e-05
19,"('considerations', 'nature')",1.2001382180661405e-05
20,"('that', 'enters')",1.2001382180661405e-05
21,"('soul', 'enters')",1.2001382180661405e-05
22,"('soul', 'then')",1.2001382180661405e-05
23,"('direct', 'mention')",1.2001382180661405e-05
24,"('that', 'fetus')",1.2001382180661405e-05
25,"('involved', 'considerations')",1.2001382180661405e-05
26,"('earliest', 'vedas')",1.2001382180661405e-05
27,"('fetus', 'days')",1.2001382180661405e-05
28,"(""''"", 'fetus')",1.2001382180661405e-05
29,"('animating', 'principle')",1.2001382180661405e-05
30,"('human', 'being')",1.2001382180661405e-05
31,"('hippocratic', 'oath')",1.2001382180661405e-05
32,"('value', 'human')",1.2001382180661405e-05
33,"('rome', 'twelve')",1.2001382180661405e-05
34,"('fetus', 'part')",1.2001382180661405e-05
35,"('after', 'quickening')",1.2001382180661405e-05
36,"('woman', 'life')",1.2001382180661405e-05
37,"('earliest', 'written')",1.2001382180661405e-05
38,"('associations', 'began')",1.2001382180661405e-05
39,"('reasonable', 'creature')",1.2001382180661405e-05
40,"('which', 'dealt')",1.2001382180661405e-05
41,"('causes', 'abortion')",1.2001382180661405e-05
42,"('lashes', 'woman')",1.2001382180661405e-05
43,"('zend', 'avesta')",1.2001382180661405e-05
44,"('code', 'hammurabi')",1.2001382180661405e-05
45,"('protect', 'rights')",1.2001382180661405e-05
46,"('pregnant', 'woman')",1.2001382180661405e-05
47,"('abortion', 'were')",1.2001382180661405e-05
48,"('abortion', 'even')",1.2001382180661405e-05
49,"('only', 'response')",1.2001382180661405e-05
