,word,relevance_score
0,"('hyde', 'amendment')",3.3151044985373037
1,"('that', 'hyde')",1.8588795741265922
2,"('funds', 'abortion')",1.4544173214100973
3,"('life', 'mother')",1.4544173214100973
4,"('rape', 'incest')",1.4544173214100973
5,"('amendment', 'language')",1.4544173214100973
6,"('cases', 'rape')",1.4572977952966408e-05
7,"('under', 'medicaid')",1.4572977952966408e-05
8,"('federal', 'medicaid')",1.4572977952966408e-05
9,"('amendment', 'affordable')",1.4572977952966408e-05
10,"('labor', 'health')",1.4572977952966408e-05
11,"('after', 'hyde')",1.4572977952966408e-05
12,"('speaker', 'paul')",1.4572977952966408e-05
13,"('times', 'likely')",1.4572977952966408e-05
14,"('repeal', 'hyde')",1.4572977952966408e-05
15,"('adding', 'hyde')",1.4572977952966408e-05
16,"('coverage', 'abortion')",1.4572977952966408e-05
17,"('medicaid', 'funds')",1.4572977952966408e-05
18,"('original', 'hyde')",1.4572977952966408e-05
19,"('estimated', 'abortions')",1.4572977952966408e-05
20,"('medicaid', 'coverage')",1.4572977952966408e-05
21,"('exceptions', 'rape')",1.4572977952966408e-05
22,"('funding', 'abortion')",9.194697303756742e-06
23,"('reproductive', 'health')",8.433111427885784e-06
24,"('federal', 'funds')",7.033450339666527e-06
25,"('likely', 'rely')",4.572990072848583e-06
26,"('pocket', 'five')",4.572990072848583e-06
27,"('fund', 'compared')",4.572990072848583e-06
28,"('from', 'abortion')",4.572990072848583e-06
29,"('abortion', 'fund')",4.572990072848583e-06
30,"('with', 'medicaid')",4.572990072848583e-06
31,"('their', 'medicaid')",4.572990072848583e-06
32,"('abortion', 'beyond')",4.572990072848583e-06
33,"('beyond', 'hyde')",4.572990072848583e-06
34,"('requirements', 'estimated')",4.572990072848583e-06
35,"('abortions', 'paid')",4.572990072848583e-06
36,"('rely', 'financial')",4.572990072848583e-06
37,"('abortions', 'pocket')",4.572990072848583e-06
38,"('survey', 'abortion')",4.572990072848583e-06
39,"('likely', 'their')",4.572990072848583e-06
40,"('employee', 'families')",4.572990072848583e-06
41,"('families', 'women')",4.572990072848583e-06
42,"('women', 'residents')",4.572990072848583e-06
43,"('residents', 'women')",4.572990072848583e-06
44,"('women', 'immigration')",4.572990072848583e-06
45,"('detention', 'facilities')",4.572990072848583e-06
46,"('facilities', 'prisons')",4.572990072848583e-06
47,"('prisons', 'hyde')",4.572990072848583e-06
48,"('preclude', 'women')",4.572990072848583e-06
49,"('their', 'abortions')",4.572990072848583e-06
