,word,relevance_score
0,"('march', 'life')",3.6596884700986334
1,"('annual', 'march')",1.6764482565169656
2,"('attend', 'march')",1.2261928148500787
3,"('antiabortion', 'movement')",3.075423789879376e-05
4,"('march', 'including')",1.3543002384564694e-05
5,"('spoke', 'remotely')",1.3543002384564694e-05
6,"('nellie', 'gray')",1.3543002384564694e-05
7,"('first', 'march')",1.3543002384564694e-05
8,"('remotely', 'telephone')",1.3543002384564694e-05
9,"('attended', 'spoke')",1.3543002384564694e-05
10,"('speakers', 'included')",1.3543002384564694e-05
11,"('chris', 'smith')",1.3543002384564694e-05
12,"('included', 'house')",1.3543002384564694e-05
13,"('following', 'storming')",1.3543002384564694e-05
14,"('trump', 'addressed')",1.3543002384564694e-05
15,"('spoke', 'event')",1.3543002384564694e-05
16,"('after', 'march')",1.3543002384564694e-05
17,"('before', 'march')",1.3543002384564694e-05
18,"('pandemic', 'security')",1.3543002384564694e-05
19,"('overturning', 'wade')",1.0755767714971601e-05
20,"('church', 'north')",7.127947221483044e-06
21,"('virtual', 'march')",7.127947221483044e-06
22,"('national', 'mall')",7.127947221483044e-06
23,"('also', 'spoke')",7.127947221483044e-06
24,"('members', 'spoke')",7.127947221483044e-06
25,"('legality', 'abortion')",7.127947221483044e-06
26,"('nomination', 'rick')",3.5430667422582327e-06
27,"('whip', 'kevin')",3.5430667422582327e-06
28,"('cantor', 'house')",3.5430667422582327e-06
29,"('dolan', 'antiabortion')",3.5430667422582327e-06
30,"('antiabortion', 'activist')",3.5430667422582327e-06
31,"('activist', 'abby')",3.5430667422582327e-06
32,"('abby', 'johnson')",3.5430667422582327e-06
33,"('johnson', 'player')",3.5430667422582327e-06
34,"('player', 'benjamin')",3.5430667422582327e-06
35,"('benjamin', 'watson')",3.5430667422582327e-06
36,"('watson', 'vice')",3.5430667422582327e-06
37,"('pence', 'attended')",3.5430667422582327e-06
38,"('spoke', 'march')",3.5430667422582327e-06
39,"('march', 'becoming')",3.5430667422582327e-06
40,"('then', 'highestranking')",3.5430667422582327e-06
41,"('highestranking', 'federal')",3.5430667422582327e-06
42,"('official', 'pence')",3.5430667422582327e-06
43,"('also', 'speakers')",3.5430667422582327e-06
44,"('speakers', 'march')",3.5430667422582327e-06
45,"('march', 'while')",3.5430667422582327e-06
46,"('serving', 'representative')",3.5430667422582327e-06
47,"('representative', 'indiana')",3.5430667422582327e-06
48,"('indiana', '’')",3.5430667422582327e-06
49,"('s', 'congressional')",3.5430667422582327e-06
