,word,relevance_score
0,"('after', 'weeks')",2.735143340185718
1,"('unborn', 'child')",2.1887730836821797
2,"('paincapable', 'unborn')",1.9791859114797228
3,"('child', 'protection')",1.9791859114797228
4,"('abortions', 'after')",1.9791859114797228
5,"('abortion', 'after')",1.4531542136932252
6,"('bill', 'senate')",1.2622547538190827
7,"('reintroduced', 'bill')",1.2622547538190827
8,"('result', 'rape')",1.2622547538190827
9,"(""'"", 'gestation')",1.2622547538190827
10,"('weeks', ""'"")",1.2622547538190827
11,"('house', 'passed')",1.7598146935684225e-05
12,"('restriction', 'first')",1.3798647630280615e-05
13,"('weeks', 'pregnancy')",1.3798647630280615e-05
14,"('bill', 'failed')",1.3798647630280615e-05
15,"('vote', 'graham')",1.3798647630280615e-05
16,"('rape', 'incest')",1.3798647630280615e-05
17,"('that', 'asked')",1.3798647630280615e-05
18,"('known', 'micah')",1.3798647630280615e-05
19,"('failed', 'reach')",7.5982673286419026e-06
20,"('against', 'person')",7.5982673286419026e-06
21,"('without', 'restriction')",7.5982673286419026e-06
22,"('banning', 'abortions')",7.5982673286419026e-06
23,"('passed', 'bill')",5.196544279018464e-06
24,"('that', 'abortions')",3.7988761655292347e-06
25,"('numerous', 'polls')",3.7988761655292347e-06
26,"('voted', 'bill')",3.7988761655292347e-06
27,"('republicans', 'three')",3.7988761655292347e-06
28,"('fortyeight', 'republicans')",3.7988761655292347e-06
29,"('vote', 'fortyeight')",3.7988761655292347e-06
30,"('cloture', 'vote')",3.7988761655292347e-06
31,"('needed', 'cloture')",3.7988761655292347e-06
32,"('failed', 'receive')",3.7988761655292347e-06
33,"('considered', 'senate')",3.7988761655292347e-06
34,"('october', 'bill')",3.7988761655292347e-06
35,"('graham', 'introduced')",3.7988761655292347e-06
36,"('bill', 'october')",3.7988761655292347e-06
37,"('desk', 'house')",3.7988761655292347e-06
38,"('reached', 'desk')",3.7988761655292347e-06
39,"('bill', 'reached')",3.7988761655292347e-06
40,"('recommend', 'sign')",3.7988761655292347e-06
41,"('would', 'recommend')",3.7988761655292347e-06
42,"('advisors', 'would')",3.7988761655292347e-06
43,"('weeks', 'supported')",3.7988761655292347e-06
44,"('majority', 'plurality')",3.7988761655292347e-06
45,"('weeks', 'higher')",3.7988761655292347e-06
46,"('supported', 'banning')",3.7988761655292347e-06
47,"('between', 'allowing')",3.7988761655292347e-06
48,"('votes', 'choose')",3.7988761655292347e-06
49,"('asked', 'votes')",3.7988761655292347e-06
