,word,relevance_score
0,"('right', 'life')",2.3575331905528545
1,"('national', 'right')",1.9312281783562129
2,"('life', 'committee')",1.7431259760138378
3,"('model', 'legislation')",1.6537117677657778
4,"('james', 'mchugh')",1.2024524180000637
5,"('john', 'willke')",1.2024524180000637
6,"('prolife', 'movement')",1.2024524180000637
7,"('campaign', 'financing')",2.4057703881984925e-05
8,"('committee', 'nrlc')",1.7067974235704423e-05
9,"('human', 'life')",1.7067974235704423e-05
10,"('life', 'amendment')",1.36157297082614e-05
11,"('ruling', 'supreme')",1.36157297082614e-05
12,"('golden', 'york')",1.36157297082614e-05
13,"('media', 'strategy')",1.36157297082614e-05
14,"('create', 'public')",1.36157297082614e-05
15,"('first', 'convention')",1.36157297082614e-05
16,"('juan', 'ryan')",1.36157297082614e-05
17,"('director', 'nrlc')",1.36157297082614e-05
18,"('after', 'weeks')",1.36157297082614e-05
19,"('silent', 'scream')",1.36157297082614e-05
20,"('boycott', 'hoechst')",1.36157297082614e-05
21,"('nrlc', 'began')",1.36157297082614e-05
22,"('announced', 'boycott')",1.36157297082614e-05
23,"('douglas', 'johnson')",1.36157297082614e-05
24,"('james', 'bopp')",1.36157297082614e-05
25,"('wisconsin', 'right')",1.36157297082614e-05
26,"('willke', 'ohio')",1.36157297082614e-05
27,"('nrlc', 'held')",1.36157297082614e-05
28,"('nccb', 'asked')",1.36157297082614e-05
29,"('mildred', 'jefferson')",1.36157297082614e-05
30,"('exclusively', 'republican')",1.36157297082614e-05
31,"('antiabortion', 'almost')",1.36157297082614e-05
32,"('restrict', 'abortion')",1.36157297082614e-05
33,"('life', 'political')",1.36157297082614e-05
34,"('heavily', 'restrict')",1.36157297082614e-05
35,"('would', 'heavily')",1.36157297082614e-05
36,"('africanamerican', 'woman')",7.06810565574402e-06
37,"('antiabortion', 'organization')",7.06810565574402e-06
38,"('partialbirth', 'abortion')",7.06810565574402e-06
39,"('phrase', 'elicited')",3.615794764500941e-06
40,"('phrase', 'nrlc')",3.615794764500941e-06
41,"('elicited', 'strong')",3.615794764500941e-06
42,"('lobbyist', 'douglas')",3.615794764500941e-06
43,"('strong', 'negative')",3.615794764500941e-06
44,"('nrlc', 'lobbyist')",3.615794764500941e-06
45,"('negative', 'reactions')",3.615794764500941e-06
46,"('focus', 'group')",3.615794764500941e-06
47,"('became', 'phrase')",3.615794764500941e-06
48,"('johnson', 'phrase')",3.615794764500941e-06
49,"('lawyer', 'responsible')",3.615794764500941e-06
